Date,Open,High,Low,Close,Volume
2011-01-12,1275.650024,1286.869995,1275.650024,1285.959961,4226940000
2011-03-02,1305.469971,1314.189941,1302.579956,1308.439941,1025000000
2011-04-13,1314.030029,1321.349976,1309.189941,1314.410034,3850860000
2011-06-08,1284.630005,1287.040039,1277.420044,1279.560059,3970810000
2011-07-27,1331.910034,1331.910034,1303.48999,1304.890015,3479040000
2011-09-07,1165.849976,1198.619995,1165.849976,1198.619995,4441040000
2011-10-19,1223.459961,1229.640015,1206.310059,1209.880005,4846390000
2011-11-30,1196.719971,1247.109985,1196.719971,1246.959961,5801910000
2012-01-11,1292.02002,1293.800049,1285.410034,1292.47998,3968120000
2012-02-29,1372.199951,1378.040039,1363.810059,1365.680054,4482370000
2012-04-11,1358.97998,1374.709961,1358.97998,1368.709961,3743040000
2012-06-06,1285.609985,1315.130005,1285.609985,1315.130005,4268360000
2012-07-18,1363.579956,1375.26001,1358.959961,1372.780029,3642630000
2012-08-29,1409.319946,1413.949951,1406.569946,1410.48999,2571220000
2012-10-10,1441.47998,1442.52002,1430.640015,1432.560059,3225060000
2012-11-28,1398.77002,1410.310059,1385.430054,1409.930054,3359250000
2013-01-16,1472.329956,1473.959961,1467.599976,1472.630005,3384080000
2013-03-06,1539.790039,1545.25,1538.109985,1541.459961,3676890000
2013-04-17,1574.569946,1574.569946,1543.689941,1552.01001,4250310000
2013-06-05,1629.050049,1629.310059,1607.089966,1608.900024,3632350000
2013-07-17,1677.910034,1684.75,1677.910034,1680.910034,3153440000
2013-09-04,1640.719971,1655.719971,1637.410034,1653.079956,3312150000
2013-12-04,1793.1500239999998,1799.800049,1779.089966,1792.810059,3610540000
2014-01-15,1840.52002,1850.839966,1840.52002,1848.380005,3777800000
2014-03-05,1874.050049,1876.530029,1871.109985,1873.810059,3392990000
2014-04-16,1846.0100100000002,1862.310059,1846.0100100000002,1862.310059,3155080000
2014-06-04,1923.060059,1928.630005,1918.5999760000002,1927.880005,2793920000
2014-07-16,1976.3499760000002,1983.939941,1975.6700440000002,1981.569946,3390950000
2014-09-03,2003.569946,2009.280029,1998.140015,2000.719971,2809980000
2014-10-15,1874.180054,1874.180054,1820.660034,1862.4899899999998,6090800000
2014-12-03,2067.449951,2076.280029,2066.649902,2074.330078,3612680000
2015-01-14,2018.4000239999998,2018.4000239999998,1988.439941,2011.27002,4378680000
2015-03-04,2107.719971,2107.719971,2094.48999,2098.530029,3421110000
2015-04-15,2097.820068,2111.909912,2097.820068,2106.6298829999996,4013760000
2015-06-03,2110.639893,2121.919922,2109.610107,2114.070068,3099980000
2015-07-15,2109.01001,2114.139893,2102.48999,2107.399902,3261810000
2015-09-02,1916.52002,1948.910034,1916.52002,1948.859985,3742620000
2015-10-14,2003.660034,2009.560059,1990.72998,1994.2399899999998,3644590000
2015-12-02,2101.709961,2104.27002,2077.110107,2079.51001,3950640000
2016-01-13,1940.339966,1950.3299559999998,1886.410034,1890.280029,5087030000
2016-03-02,1976.5999760000002,1986.5100100000002,1968.800049,1986.449951,4666610000
2016-04-13,2065.919922,2083.179932,2065.919922,2082.419922,4191830000
2016-06-01,2093.939941,2100.969971,2085.100098,2099.330078,3525170000
2016-07-13,2153.810059,2156.449951,2146.209961,2152.429932,3502320000
2016-09-07,2185.169922,2187.8701170000004,2179.070068,2186.159912,3319420000
2016-10-19,2140.810059,2148.439941,2138.149902,2144.290039,3362670000
2016-11-30,2204.969971,2214.100098,2198.810059,2198.810059,5533980000
2017-01-18,2269.139893,2272.01001,2263.350098,2271.889893,3315250000
2017-03-01,2380.1298829999996,2400.97998,2380.1298829999996,2395.959961,4345180000
2017-04-19,2346.790039,2352.6298829999996,2335.050049,2338.169922,3519900000
2017-05-31,2415.6298829999996,2415.98999,2403.590088,2411.800049,4516110000
2017-07-12,2435.75,2445.76001,2435.75,2443.25,3171620000
2017-09-06,2463.830078,2469.639893,2459.199951,2465.540039,3374410000
2017-10-18,2562.8701170000004,2564.110107,2559.669922,2561.26001,2998090000
2017-11-29,2627.820068,2634.889893,2620.320068,2626.070068,4078280000
2018-01-17,2784.98999,2807.040039,2778.3798829999996,2802.560059,3778050000
2018-03-07,2710.179932,2730.600098,2701.73999,2726.800049,3393270000
2018-04-18,2710.110107,2717.48999,2703.6298829999996,2708.639893,3383410000
2018-05-30,2702.429932,2729.340088,2702.429932,2724.01001,3561050000
2018-07-18,2811.350098,2816.76001,2805.889893,2815.6201170000004,3089780000
2018-09-12,2888.290039,2894.649902,2879.199951,2888.919922,3264930000
2018-10-24,2737.8701170000004,2742.590088,2651.889893,2656.100098,4709310000
2019-01-16,2614.75,2625.76001,2612.679932,2616.100098,3863770000
2019-03-06,2790.27002,2790.27002,2768.689941,2771.449951,3786600000
2019-04-17,2916.040039,2918.0,2895.449951,2900.449951,3602300000
2019-06-05,2818.090088,2827.280029,2800.919922,2826.149902,3548830000
2019-07-17,3005.100098,3005.26001,2984.25,2984.419922,3181600000
2019-09-04,2924.669922,2938.840088,2921.860107,2937.780029,3163260000
