Start_Date,Start_Date_Close,End_Date,End_Date_Close,Difference,Difference_Percent_Change,Increase_Sum,Decrease_Sum,Dec_Inc_Ratio,Movement
1997-01-22,786.22998,1997-01-29,772.5,-13.729979999999955,-0.01746305832804793,770.9676499999996,268.44271999999984,0.3481893436125368,-1
1997-05-07,815.619995,1997-05-14,836.039978,20.419983000000002,0.025036148114539542,4861.997880000004,151.60742,0.0311821238391819,1
1997-06-18,889.0599980000002,1997-06-25,888.98999,-0.07000800000014351,-7.874384198775243e-05,498.76292000000035,7040.991230000003,14.116909953931616,-1
1997-08-06,960.320007,1997-08-13,922.0200199999999,-38.2999870000001,-0.039882525325748104,465.4221,5109.943009999997,10.979158510092232,-1
1997-09-17,943.0,1997-09-24,944.4799800000001,1.4799800000000687,0.0015694379639449297,7359.27861,61.13963999999998,0.008307830595912169,1
1997-10-29,919.159973,1997-11-05,942.76001,23.60003699999993,0.025675657875933126,770.9676499999996,268.44271999999984,0.3481893436125368,1
1997-12-03,976.77002,1997-12-10,969.7899779999999,-6.9800420000001395,-0.007146044470120141,603.0821999999998,3867.7127200000004,6.413243037184651,-1
1998-01-21,970.809998,1998-01-28,977.4600220000001,6.650024000000144,0.006849974777453975,8467.927139999993,23.764160000000004,0.0028063727529899396,1
1998-03-18,1085.52002,1998-03-25,1101.930054,16.410033999999996,0.015117209906455707,6421.0088700000015,93.86677,0.01461869495906801,1
1998-05-06,1104.920044,1998-05-13,1118.859985,13.93994100000009,0.012616244112592177,5682.39726000001,55.28149000000002,0.009728550727901752,1
1998-06-17,1107.109985,1998-06-24,1132.880005,25.77001999999993,0.023276838208626516,9059.748730000007,71.29431,0.007869347387518544,1
1998-08-05,1081.430054,1998-08-12,1084.219971,2.7899170000000595,0.002579840452630938,4372.055470000004,45.18723000000001,0.010335465848972856,1
1998-09-16,1045.47998,1998-09-23,1066.089966,20.609985999999935,0.01971342005037718,5024.5509299999985,86.10859,0.01713756934691874,1
1998-11-04,1118.670044,1998-11-11,1120.969971,2.299927000000025,0.0020559476070139814,6530.242639999996,66.12522999999999,0.010125998932254075,1
1999-01-20,1256.619995,1999-01-27,1243.170044,-13.449951000000056,-0.010703276291572979,606.0546600000004,5472.253489999999,9.02930684502945,-1
1999-03-17,1297.819946,1999-03-24,1268.589966,-29.22998000000007,-0.022522369216230298,439.7649700000001,6168.61175,14.027064843295722,-1
1999-05-05,1347.310059,1999-05-12,1364.0,16.68994100000009,0.012387602162183584,6014.226519999998,55.9148,0.009297089129260135,1
1999-08-11,1301.930054,1999-08-18,1332.839966,30.909912000000077,0.023741607243057065,6286.957539999998,71.18444,0.011322557778877576,1
