NGram,Frequency
"('in',)",246
"('and',)",219
"('reported',)",123
"('the',)",105
"('that',)",84
"('were',)",81
"('districts',)",80
"('of',)",70
"('chicago',)",62
"('a',)",62
"('kansas',)",59
"('city',)",59
"('prices',)",58
"('for',)",57
"('to',)",56
"('san',)",56
"('francisco',)",56
"('minneapolis',)",55
"('dallas',)",53
"('noted',)",48
"('district',)",46
"('activity',)",45
"('boston',)",41
"('new',)",41
"('richmond',)",41
"('atlanta',)",38
"('sales',)",36
"('some',)",36
"('demand',)",33
"('york',)",32
"('most',)",30
"('cleveland',)",29
"('was',)",27
"('reports',)",27
"('conditions',)",27
"('lower',)",27
"('business',)",26
"('but',)",24
"('lending',)",24
"('mixed',)",24
"('philadelphia',)",23
"('pressures',)",23
"('retail',)",21
"('down',)",21
"('declined',)",21
"('services',)",21
"('st',)",20
"('louis',)",20
"('last',)",20
"('report',)",18
"('across',)",18
"('all',)",18
"('many',)",18
"('as',)",18
"('decreased',)",18
"('slow',)",18
"('while',)",18
"('several',)",18
"('loan',)",18
"('contacts',)",17
"('tourism',)",17
"('wage',)",17
"('since',)",15
"('decreases',)",15
"('sector',)",15
"('manufacturing',)",15
"('markets',)",15
"('estate',)",15
"('with',)",15
"('relatively',)",15
"('due',)",15
"('labor',)",15
"('declines',)",15
"('input',)",15
"('materials',)",15
"('indicated',)",15
"('have',)",15
"('their',)",15
"('from',)",14
"('real',)",14
"('federal',)",12
"('reserve',)",12
"('generally',)",12
"('spending',)",12
"('number',)",12
"('commercial',)",12
"('reductions',)",12
"('energy',)",12
"('particularly',)",12
"('stores',)",12
"('stronger',)",12
"('season',)",12
"('increases',)",12
"('remained',)",12
"('credit',)",12
"('they',)",12
"('at',)",11
"('consumer',)",11
"('on',)",10
"('weakened',)",9
"('subdued',)",9
"('characterized',)",9
"('mining',)",9
"('output',)",9
"('price',)",9
"('fuel',)",9
"('raw',)",9
"('food',)",9
"('than',)",9
"('retailers',)",9
"('more',)",9
"('capital',)",9
"('however',)",9
"('difficulty',)",9
"('weakness',)",9
"('wide',)",9
"('range',)",9
"('temporary',)",9
"('firms',)",9
"('transportation',)",9
"('construction',)",9
"('sectors',)",9
"('continued',)",9
"('costs',)",9
"('banks',)",9
"('been',)",9
"('expected',)",9
"('producers',)",9
"('positions',)",9
"('information',)",8
"('other',)",8
"('2008',)",7
"('vehicle',)",6
"('orders',)",6
"('nearly',)",6
"('weak',)",6
"('housing',)",6
"('selling',)",6
"('stable',)",6
"('contracted',)",6
"('reporting',)",6
"('residential',)",6
"('tightening',)",6
"('standards',)",6
"('agricultural',)",6
"('production',)",6
"('described',)",6
"('market',)",6
"('weakening',)",6
"('largely',)",6
"('easing',)",6
"('light',)",6
"('during',)",6
"('slowed',)",6
"('recent',)",6
"('steady',)",6
"('fall',)",6
"('year',)",6
"('items',)",6
"('including',)",6
"('volumes',)",6
"('holiday',)",6
"('likely',)",6
"('discounting',)",6
"('back',)",6
"('expenditure',)",6
"('less',)",6
"('had',)",6
"('contrast',)",6
"('businesses',)",6
"('technology',)",6
"('percent',)",6
"('bankruptcy',)",6
"('strong',)",6
"('weaker',)",6
"('almost',)",6
"('few',)",6
"('saw',)",6
"('manufacturers',)",6
"('homes',)",6
"('rose',)",6
"('categories',)",6
"('its',)",6
"('volume',)",6
"('has',)",6
"('agriculture',)",6
"('harvests',)",6
"('weather',)",6
"('crop',)",6
"('cattle',)",6
"('large',)",6
"('hiring',)",6
"('job',)",6
"('cuts',)",6
"('industries',)",6
"('skilled',)",6
"('open',)",6
"('wages',)",6
"('customers',)",6
"('november',)",5
"('this',)",5
"('is',)",5
"('not',)",5
"('products',)",5
"('2009',)",5
"('return',)",4
"('top',)",4
"('december',)",3
"('3',)",3
"('summary',)",3
"('full',)",3
"('overall',)",3
"('economic',)",3
"('significantly',)",3
"('service',)",3
"('negative',)",3
"('soft',)",3
"('by',)",3
"('reduced',)",3
"('low',)",3
"('industrial',)",3
"('good',)",3
"('harvest',)",3
"('concerns',)",3
"('about',)",3
"('profitability',)",3
"('exploration',)",3
"('started',)",3
"('soften',)",3
"('period',)",3
"('or',)",3
"('sharply',)",3
"('compared',)",3
"('early',)",3
"('ago',)",3
"('purchases',)",3
"('bigticket',)",3
"('furniture',)",3
"('appliances',)",3
"('electronics',)",3
"('luxury',)",3
"('discount',)",3
"('department',)",3
"('inventory',)",3
"('levels',)",3
"('anticipated',)",3
"('slowdown',)",3
"('preparing',)",3
"('feature',)",3
"('cut',)",3
