NGram,Frequency
"('in', 'the')",189
"('continued', 'to')",55
"('of', 'the')",45
"('real', 'estate')",41
"('the', 'District')",35
"('reported', 'that')",33
"('noted', 'that')",33
"('sales', 'were')",33
"('to', 'the')",33
"('demand', 'for')",32
"('Kansas', 'City')",31
"('the', 'last')",30
"('since', 'the')",29
"('increases', 'in')",28
"('increase', 'in')",28
"('a', 'year')",27
"('San', 'Francisco')",25
"('at', 'a')",25
"('over', 'the')",25
"('to', 'a')",24
"('for', 'the')",24
"('indicated', 'that')",23
"('New', 'York')",23
"('growth', 'in')",22
"('in', '2014')",22
"('with', 'the')",21
"('due', 'to')",21
"('and', 'the')",20
"('activity', 'in')",20
"('last', 'report')",20
"('home', 'sales')",19
"('in', 'recent')",19
"('and', 'San')",18
"('Districts', 'reported')",18
"('that', 'the')",18
"('St', 'Louis')",17
"('reporting', 'period')",17
"('during', 'the')",17
"('to', 'increase')",17
"('to', 'be')",17
"('from', 'a')",17
"('compared', 'to')",17
"('the', 'same')",17
"('in', 'December')",16
"('last', 'year')",16
"('number', 'of')",16
"('year', 'earlier')",16
"('the', 'past')",16
"('commercial', 'real')",15
"('reported', 'a')",15
"('from', 'the')",15
"('and', 'a')",15
"('contacts', 'reported')",15
"('and', 'Kansas')",14
"('according', 'to')",14
"('compared', 'with')",14
"('Francisco', 'Districts')",14
"('outlook', 'for')",14
"('the', 'previous')",14
"('across', 'the')",14
"('late', 'November')",14
"('November', 'and')",14
"('prices', 'were')",13
"('Demand', 'for')",13
"('continue', 'to')",13
"('contacts', 'noted')",13
"('a', 'slight')",13
"('Real', 'Estate')",13
"('in', 'late')",13
"('an', 'increase')",13
"('Return', 'to')",13
"('percent', 'in')",13
"('pace', 'of')",13
"('expected', 'to')",13
"('year', 'ago')",13
"('recent', 'weeks')",12
"('and', 'Dallas')",12
"('contacts', 'in')",12
"('Contacts', 'in')",12
"('Chicago', 'and')",12
"('were', 'down')",12
"('decline', 'in')",12
"('percent', 'of')",12
"('sales', 'of')",12
"('to', 'top')",12
"('about', 'the')",12
"('yearago', 'levels')",12
"('six', 'weeks')",12
"('the', 'reporting')",12
"('in', 'demand')",11
"('sales', 'and')",11
"('According', 'to')",11
"('reports', 'of')",11
"('the', 'Boston')",11
"('activity', 'was')",11
"('increased', 'in')",11
"('construction', 'activity')",11
"('and', 'December')",11
"('that', 'sales')",11
"('were', 'up')",11
"('Beige', 'Book')",10
"('were', 'mixed')",10
"('change', 'in')",10
"('a', 'few')",10
"('residential', 'construction')",10
"('sales', 'activity')",10
"('as', 'well')",10
"('well', 'as')",10
"('Cleveland', 'and')",10
"('the', 'Cleveland')",10
"('City', 'and')",10
"('City', 'Districts')",10
"('said', 'that')",10
"('increased', 'slightly')",10
"('for', '2014')",10
"('held', 'steady')",10
"('with', 'a')",10
"('picked', 'up')",10
"('on', 'the')",10
"('prices', 'for')",10
"('last', 'Beige')",9
"('the', 'Richmond')",9
"('little', 'change')",9
"('to', 'improve')",9
"('in', 'some')",9
"('commercial', 'construction')",9
"('leasing', 'activity')",9
"('the', 'New')",9
"('District', 'reported')",9
"('that', 'demand')",9
"('of', 'a')",9
"('a', 'moderate')",9
"('in', '2013')",9
"('strong', 'growth')",9
"('In', 'addition')",9
"('have', 'been')",9
"('prices', 'and')",9
"('in', 'Minnesota')",9
"('the', 'year')",9
"('report', 'that')",9
"('in', '2012')",9
"('better', 'than')",9
"('strong', 'in')",8
"('the', 'Dallas')",8
"('Dallas', 'District')",8
"('flat', 'to')",8
"('the', 'Atlanta')",8
"('holiday', 'season')",8
"('Dallas', 'Districts')",8
"('were', 'generally')",8
"('One', 'contact')",8
"('for', 'most')",8
"('The', 'outlook')",8
"('this', 'year')",8
"('relative', 'to')",8
"('no', 'change')",8
"('the', 'fourth')",8
"('fourth', 'quarter')",8
"('and', 'industrial')",8
"('on', 'a')",8
"('prices', 'of')",8
"('wage', 'pressures')",8
"('as', 'a')",8
"('in', 'November')",8
"('down', 'slightly')",8
"('majority', 'of')",8
"('past', 'six')",8
"('since', 'our')",8
"('our', 'last')",8
"('the', 'coming')",8
"('they', 'were')",8
"('survey', 'period')",8
"('the', 'Districts')",7
"('in', 'manufacturing')",7
"('were', 'also')",7
"('in', 'commercial')",7
"('described', 'as')",7
"('Consumer', 'Spending')",7
"('holiday', 'sales')",7
"('than', 'in')",7
"('inventory', 'levels')",7
"('information', 'technology')",7
"('the', 'exception')",7
"('exception', 'of')",7
"('of', 'growth')",7
"('activity', 'remained')",7
"('contact', 'in')",7
"('In', 'contrast')",7
"('the', 'first')",7
"('sales', 'in')",7
"('of', '2013')",7
"('residential', 'real')",7
"('up', 'in')",7
"('rates', 'were')",7
"('Commercial', 'real')",7
"('In', 'the')",7
"('prices', 'remained')",7
"('by', 'the')",7
"('up', 'slightly')",7
"('3', 'percent')",7
"('10', 'percent')",7
"('that', 'they')",7
"('there', 'was')",7
"('pressure', 'on')",7
"('capital', 'expenditures')",7
"('of', 'activity')",7
"('the', 'market')",7
"('the', 'holiday')",7
"('percent', 'from')",7
"('to', 'report')",7
"('A', 'contact')",7
"('new', 'orders')",7
"('to', 'see')",7
"('holiday', 'shopping')",7
"('to', 'grow')",7
"('higher', 'than')",7
"('of', 'new')",7
"('North', 'Carolina')",7
"('same', 'period')",7
"('estate', 'markets')",6
"('District', 'reports')",6
"('home', 'prices')",6
"('reported', 'increases')",6
"('were', 'stable')",6
"('noted', 'a')",6
"('lower', 'than')",6
"('activity', 'increased')",6
"('cargo', 'volumes')",6
"('in', 'line')",6
"('line', 'with')",6
"('2014', 'is')",6
"('concerns', 'about')",6
"('and', 'contacts')",6
"('strength', 'in')",6
"('Estate', 'and')",6
"('and', 'Construction')",6
"('sales', 'growth')",6
"('in', 'most')",6
"('reported', 'no')",6
"('the', 'near')",6
"('and', 'other')",6
"('for', 'commercial')",6
"('estate', 'loans')",6
"('loan', 'demand')",6
"('has', 'been')",6
"('slightly', 'in')",6
"('the', 'future')",6
"('pressures', 'were')",6
"('price', 'increases')",6
"('in', 'a')",6
"('pickup', 'in')",6
"('demand', 'was')",6
"('contacts', 'report')",6
"('earlier', 'in')",6
"('the', 'industry')",6
"('as', 'the')",6
"('and', 'new')",6
"('the', 'number')",6
"('in', 'sales')",6
"('optimistic', 'about')",6
"('more', 'than')",6
"('little', 'changed')",6
"('quarter', 'of')",6
"('loans', 'and')",6
"('Third', 'District')",6
"('firms', 'reported')",6
"('most', 'of')",6
"('remained', 'positive')",6
"('of', '2014')",6
"('of', 'our')",6
"('A', 'few')",6
"('and', 'were')",6
"('period', 'in')",6
"('West', 'Virginia')",6
"('prices', 'increased')",6
"('new', 'home')",6
"('plans', 'to')",6
"('period', 'but')",6
"('November', '2013')",6
"('firms', 'said')",6
"('Richmond', 'District')",5
"('Richmond', 'Atlanta')",5
"('Atlanta', 'and')",5
"('manufacturing', 'activity')",5
"('recent', 'months')",5
"('and', 'construction')",5
"('Reports', 'on')",5
"('positive', 'with')",5
"('than', 'expected')",5
"('attributed', 'to')",5
"('weather', 'conditions')",5
"('and', 'Richmond')",5
"('Boston', 'Philadelphia')",5
"('Philadelphia', 'Richmond')",5
"('York', 'and')",5
"('vehicle', 'sales')",5
"('a', 'solid')",5
"('last', 'survey')",5
"('increased', 'modestly')",5
"('reported', 'strong')",5
"('increased', 'moderately')",5
"('Minneapolis', 'and')",5
"('the', 'San')",5
"('strong', 'demand')",5
"('the', 'St')",5
"('demand', 'in')",5
"('Richmond', 'Chicago')",5
"('technology', 'and')",5
"('remained', 'strong')",5
"('Cleveland', 'District')",5
"('decrease', 'in')",5
"('Reports', 'from')",5
"('steady', 'growth')",5
"('a', 'decline')",5
"('health', 'care')",5
"('raw', 'materials')",5
"('Atlanta', 'Chicago')",5
"('changes', 'in')",5
"('to', 'pick')",5
"('vacancy', 'rates')",5
"('were', 'optimistic')",5
"('Residential', 'real')",5
"('rather', 'than')",5
"('in', 'new')",5
"('remained', 'stable')",5
"('concern', 'about')",5
"('winter', 'wheat')",5
"('wheat', 'crop')",5
"('was', 'slightly')",5
"('mixed', 'in')",5
"('but', 'not')",5
