NGram,Frequency
"('and',)",176
"('in',)",170
"('the',)",98
"('reported',)",68
"('of',)",60
"('were',)",60
"('to',)",52
"('that',)",46
"('increased',)",44
"('districts',)",42
"('dallas',)",42
"('new',)",40
"('was',)",40
"('richmond',)",38
"('kansas',)",38
"('city',)",38
"('san',)",38
"('francisco',)",37
"('activity',)",37
"('sales',)",36
"('york',)",34
"('chicago',)",34
"('for',)",34
"('prices',)",33
"('noted',)",33
"('cleveland',)",32
"('while',)",31
"('atlanta',)",30
"('minneapolis',)",30
"('mixed',)",30
"('a',)",28
"('philadelphia',)",26
"('st',)",24
"('louis',)",24
"('remained',)",24
"('most',)",24
"('boston',)",22
"('at',)",22
"('services',)",22
"('saw',)",22
"('district',)",20
"('demand',)",20
"('credit',)",19
"('on',)",18
"('conditions',)",18
"('levels',)",18
"('as',)",18
"('some',)",18
"('continued',)",18
"('firms',)",18
"('generally',)",16
"('increases',)",16
"('or',)",16
"('but',)",16
"('from',)",14
"('sector',)",14
"('weak',)",14
"('production',)",14
"('retail',)",13
"('manufacturing',)",13
"('across',)",12
"('low',)",12
"('quality',)",12
"('with',)",12
"('during',)",12
"('flat',)",12
"('consumer',)",11
"('business',)",10
"('contacts',)",10
"('up',)",10
"('number',)",10
"('loan',)",10
"('energy',)",10
"('hiring',)",10
"('several',)",10
"('increase',)",10
"('stable',)",10
"('be',)",10
"('2010',)",9
"('report',)",9
"('tourism',)",9
"('commercial',)",9
"('employment',)",9
"('federal',)",8
"('reserve',)",8
"('overall',)",8
"('last',)",8
"('all',)",8
"('reports',)",8
"('many',)",8
"('markets',)",8
"('estate',)",8
"('very',)",8
"('decreased',)",8
"('particularly',)",8
"('pressures',)",8
"('reporting',)",8
"('more',)",8
"('businesses',)",8
"('home',)",8
"('goods',)",8
"('said',)",8
"('an',)",8
"('products',)",8
"('although',)",8
"('industrial',)",8
"('where',)",8
"('percent',)",8
"('costs',)",8
"('real',)",7
"('wage',)",7
"('other',)",6
"('is',)",6
"('economic',)",6
"('somewhat',)",6
"('since',)",6
"('except',)",6
"('which',)",6
"('spending',)",6
"('parts',)",6
"('mining',)",6
"('metals',)",6
"('labor',)",6
"('temporary',)",6
"('staff',)",6
"('characterized',)",6
"('minimal',)",6
"('indicated',)",6
"('period',)",6
"('sluggish',)",6
"('described',)",6
"('retailers',)",6
"('by',)",6
"('strong',)",6
"('than',)",6
"('auto',)",6
"('steady',)",6
"('also',)",6
"('signs',)",6
"('rates',)",6
"('rising',)",6
"('however',)",6
"('plant',)",6
"('slightly',)",6
"('due',)",6
"('standards',)",6
"('little',)",6
"('construction',)",6
"('leasing',)",6
"('season',)",6
"('sectors',)",6
"('higher',)",6
"('selling',)",6
"('materials',)",6
"('april',)",5
"('banking',)",5
"('bank',)",4
"('this',)",4
"('not',)",4
"('orders',)",4
"('finance',)",4
