NGram,Frequency
"('and',)",396
"('in',)",386
"('the',)",330
"('to',)",185
"('districts',)",173
"('were',)",172
"('of',)",118
"('district',)",116
"('activity',)",110
"('for',)",94
"('dallas',)",89
"('reports',)",83
"('noted',)",76
"('reported',)",74
"('was',)",70
"('a',)",68
"('sales',)",65
"('prices',)",64
"('demand',)",61
"('remained',)",56
"('contacts',)",53
"('some',)",53
"('on',)",52
"('that',)",52
"('most',)",52
"('kansas',)",49
"('city',)",46
"('continued',)",44
"('chicago',)",43
"('new',)",41
"('cleveland',)",41
"('there',)",41
"('atlanta',)",40
"('but',)",40
"('firms',)",39
"('minneapolis',)",38
"('rising',)",38
"('san',)",37
"('francisco',)",37
"('philadelphia',)",36
"('commercial',)",35
"('said',)",35
"('costs',)",34
"('richmond',)",33
"('from',)",32
"('services',)",31
"('report',)",30
"('with',)",30
"('spending',)",30
"('rose',)",30
"('up',)",29
"('had',)",29
"('reporting',)",28
"('conditions',)",27
"('lending',)",27
"('at',)",26
"('or',)",26
"('stable',)",26
"('increased',)",26
"('slightly',)",25
"('picked',)",25
"('growth',)",25
"('increases',)",25
"('as',)",24
"('weak',)",24
"('however',)",24
"('construction',)",24
"('loans',)",24
"('agricultural',)",22
"('producers',)",22
"('few',)",22
"('st',)",21
"('louis',)",21
"('across',)",21
"('sector',)",21
"('several',)",21
"('plans',)",21
"('york',)",19
"('levels',)",19
"('expected',)",19
"('higher',)",19
"('by',)",19
"('period',)",18
"('expand',)",18
"('mostly',)",18
"('limited',)",18
"('strong',)",18
"('suggested',)",18
"('real',)",18
"('estate',)",18
"('industrial',)",18
"('inventories',)",18
"('mixed',)",18
"('manufacturers',)",18
"('although',)",18
"('manufacturing',)",17
"('overall',)",17
"('remain',)",17
"('rates',)",17
"('according',)",17
"('products',)",17
"('boston',)",16
"('production',)",16
"('positive',)",16
"('than',)",16
"('economic',)",15
"('during',)",15
"('subdued',)",15
"('capital',)",15
"('last',)",15
"('an',)",15
"('low',)",15
"('business',)",14
"('food',)",14
"('respondents',)",14
"('outlooks',)",14
"('be',)",13
"('modestly',)",13
"('consumer',)",13
"('generally',)",13
"('input',)",13
"('retailers',)",13
"('goods',)",13
"('where',)",13
"('while',)",13
"('hiring',)",13
"('steady',)",12
"('travel',)",12
"('solid',)",12
"('volumes',)",12
"('tourist',)",12
"('would',)",12
"('credit',)",12
"('quality',)",12
"('staffing',)",12
"('october',)",11
"('energy',)",11
"('further',)",11
"('final',)",11
"('pressures',)",11
"('their',)",11
"('staff',)",11
"('year',)",11
"('losses',)",11
"('home',)",11
"('scattered',)",11
"('increase',)",11
"('price',)",11
"('increasing',)",10
"('markets',)",10
"('metals',)",10
"('shipping',)",10
"('wage',)",10
"('equipment',)",10
"('sluggish',)",10
"('improved',)",10
"('since',)",10
"('healthcare',)",10
"('pickup',)",10
"('retail',)",10
"('through',)",10
"('slight',)",10
"('improvement',)",10
"('federal',)",9
"('reserve',)",9
"('modest',)",9
"('september',)",9
"('orders',)",9
"('consumers',)",9
"('used',)",9
"('yearago',)",9
"('gains',)",9
"('industries',)",9
"('saw',)",9
"('it',)",9
"('companies',)",9
"('declining',)",9
"('yearend',)",9
"('vehicles',)",9
"('hotel',)",9
"('occupancy',)",9
"('areas',)",9
"('nonfinancial',)",8
"('standards',)",8
"('general',)",8
"('rental',)",8
"('property',)",8
"('leasing',)",8
"('given',)",8
"('public',)",8
"('mortgage',)",8
"('little',)",8
"('natural',)",8
"('widespread',)",8
"('weather',)",8
"('resulting',)",8
"('corn',)",8
"('employee',)",8
"('benefits',)",8
"('raise',)",8
"('temporary',)",8
"('2010',)",7
"('balance',)",7
"('pace',)",7
"('favorable',)",7
"('aboveaverage',)",7
"('yields',)",7
"('notably',)",7
"('commodities',)",7
"('wholesale',)",7
"('passed',)",7
"('exceptions',)",7
"('auto',)",7
"('slowdown',)",7
"('appeared',)",7
"('improve',)",7
"('recent',)",7
"('investment',)",7
"('merger',)",7
"('acquisition',)",7
"('businesses',)",7
"('small',)",7
"('declined',)",7
"('exception',)",7
"('ahead',)",7
"('add',)",7
"('more',)",7
"('strengthened',)",7
"('led',)",7
"('manhattan',)",7
"('still',)",7
"('affected',)",7
"('gulf',)",7
"('offset',)",7
"('restaurants',)",7
"('decrease',)",7
"('pressure',)",7
"('properties',)",7
"('builders',)",7
"('purchases',)",6
"('necessities',)",6
"('nondiscretionary',)",6
"('items',)",6
"('held',)",6
"('well',)",6
"('tourism',)",6
"('below',)",6
"('minimal',)",6
"('only',)",6
"('boosted',)",6
"('shipments',)",6
"('existing',)",6
"('future',)",6
"('coming',)",6
"('spurred',)",6
"('clients',)",6
"('consulting',)",6
"('reform',)",6
"('strength',)",6
"('transportation',)",6
"('flat',)",6
"('moderately',)",6
"('traffic',)",6
"('tight',)",6
"('popular',)",6
"('also',)",6
"('somewhat',)",6
"('earlier',)",6
"('homes',)",6
"('declines',)",6
"('metros',)",6
"('policy',)",6
"('us',)",6
"('information',)",5
"('other',)",5
"('not',)",5
"('housing',)",5
"('operations',)",5
"('singlefamily',)",5
"('return',)",5
"('top',)",5
"('tighter',)",4
"('buyers',)",4
"('along',)",4
"('uncertainty',)",4
"('stalling',)",4
"('decline',)",4
"('types',)",4
"('one',)",4
"('apartment',)",4
"('fewer',)",4
"('concessions',)",4
"('office',)",4
"('distressed',)",4
"('lackluster',)",4
"('space',)",4
"('nonresidential',)",4
"('projects',)",4
"('industry',)",4
"('believe',)",4
"('sectors',)",4
"('finance',)",4
"('competition',)",4
"('postpone',)",4
"('because',)",4
"('uncertainties',)",4
"('loan',)",4
"('side',)",4
"('residential',)",4
"('refinancing',)",4
"('nonconforming',)",4
"('changed',)",4
"('delinquency',)",4
"('resources',)",4
"('fall',)",4
"('harvest',)",4
"('its',)",4
"('normal',)",4
"('rains',)",4
"('flooded',)",4
"('farmland',)",4
"('delayed',)",4
"('harvests',)",4
"('dry',)",4
"('crops',)",4
"('unfavorable',)",4
"('crop',)",4
"('abroad',)",4
"('boost',)",4
"('export',)",4
"('commodity',)",4
"('boosting',)",4
"('optimism',)",4
"('among',)",4
"('spurring',)",4
"('cropland',)",4
"('values',)",4
"('additionally',)",4
"('holding',)",4
"('recently',)",4
"('harvested',)",4
"('hope',)",4
"('even',)",4
"('mines',)",4
"('operating',)",4
"('near',)",4
"('capacity',)",4
"('coal',)",4
"('robust',)",4
"('domestic',)",4
"('landbased',)",4
"('drilling',)",4
"('overseas',)",4
"('moratorium',)",4
"('mexico',)",4
"('prompted',)",4
"('gas',)",4
"('dampened',)",4
"('outlook',)",4
"('wages',)",4
"('upward',)",4
"('addition',)",4
"('passthrough',)",4
"('petrochemicals',)",4
"('been',)",4
"('successful',)",4
"('materials',)",4
"('likely',)",4
"('customers',)",4
"('nearterm',)",4
"('announced',)",4
"('product',)",4
"('attempt',)",4
"('recover',)",4
"('response',)",4
"('menu',)",4
"('found',)",4
"('evidence',)",4
"('anticipated',)",4
"('result',)",4
"('many',)",4
"('reluctant',)",4
"('permanent',)",4
"('payrolls',)",4
"('softness',)",4
"('job',)",4
"('openings',)",4
"('richmonds',)",4
"('workers',)",4
"('adding',)",4
"('positions',)",4
"('workloads',)",4
"('preference',)",4
"('hours',)",4
"('using',)",4
"('help',)",4
"('rather',)",4
"('additional',)",4
"('fulltime',)",4
"('20',)",3
"('summary',)",3
"('full',)",3
"('twelve',)",3
"('suggest',)",3
"('national',)",3
"('rise',)",3
"('albeit',)",3
"('early',)",3
"('pricesensitive',)",3
"('vehicle',)",3
"('automobiles',)",3
"('stability',)",3
"('wide',)",3
"('range',)",3
"('softened',)",3
"('compared',)",3
"('previous',)",3
"('exports',)",3
"('semiconductors',)",3
"('hightech',)",3
"('strongly',)",3
"('strongest',)",3
"('yeartodate',)",3
"('steel',)",3
"('buoyed',)",3
"('energyrelated',)",3
"('automotive',)",3
"('heavy',)",3
"('processors',)",3
"('constructionrelated',)",3
"('wood',)",3
"('furniture',)",3
"('light',)",3
"('line',)",3
"('except',)",3
"('build',)",3
"('plants',)",3
"('assessments',)",3
"('factory',)",3
"('optimistic',)",3
"('expect',)",3
"('professional',)",3
"('technology',)",3
"('enhance',)",3
"('efficiency',)",3
"('corporate',)",3
"('work',)",3
"('responded',)",3
"('regulatory',)",3
"('changes',)",3
"('following',)",3
"('appraisal',)",3
"('title',)",3
"('architectural',)",3
"('appears',)",3
"('have',)",3
"('slowed',)",3
"('freight',)",3
"('over',)",3
"('past',)",3
"('six',)",3
"('weeks',)",3
"('citys',)",3
"('unexpected',)",3
"('weakness',)",3
"('rail',)",3
"('slower',)",3
"('automobile',)",3
"('port',)",3
"('intermodal',)",3
"('railroad',)",3
"('cargo',)",3
"('edged',)",3
"('international',)",3
"('container',)",3
"('trade',)",3
"('flattened',)",3
"('parcel',)",3
"('trucking',)",3
"('which',)",3
"('stronger',)",3
"('backtoschool',)",3
"('grew',)",3
"('are',)",3
"('slowly',)",3
"('regaining',)",3
"('confidence',)",3
"('priceconscious',)",3
"('largely',)",3
"('limiting',)",3
"('priced',)",3
"('household',)",3
"('apparel',)",3
"('desired',)",3
"('looking',)",3
"('particular',)",3
"('planned',)",3
"('holiday',)",3
"('particularly',)",3
"('car',)",3
"('reflective',)",3
"('lean',)",3
"('pointed',)",3
"('convention',)",3
"('visitor',)",3
"('counts',)",3
"('destinations',)",3
"('above',)",3
"('yorks',)",3
"('high',)",3
"('bookings',)",3
"('weaker',)",3
"('being',)",3
"('oil',)",3
"('spill',)",3
"('incurred',)",3
"('these',)",3
"('northeast',)",3
"('florida',)",3
"('georgia',)",3
"('tennessee',)",3
"('remainder',)",3
"('airline',)",3
"('down',)",3
"('much',)",3
"('better',)",3
"('thanks',)",3
"('service',)",3
"('beige',)",3
"('book',)",3
"('upticks',)",3
"('higherpriced',)",3
"('metro',)",3
"('others',)",3
"('elevated',)",3
"('homebuilders',)",3
"('downward',)",3
"('expressed',)",3
"('concern',)",3
"('about',)",3
"('foreclosures',)",3
"('bankowned',)",3
"('very',)",3
"('softening',)",3
"('building',)",3
"('they',)",3
"('pulled',)",3
"('back',)",3
"('starts',)",3
"('considerably',)",3
"('after',)",3
"('runup',)",3
"('time',)",3
"('banking',)",3
"('aggressively',)",3
"('agriculture',)",3
"('prepared',)",2
"('bank',)",2
"('based',)",2
"('collected',)",2
"('before',)",2
"('8',)",2
"('this',)",2
"('document',)",2
"('summarizes',)",2
"('comments',)",2
"('received',)",2
"('outside',)",2
"('is',)",2
"('commentary',)",2
"('views',)",2
"('officials',)",2
"('refiners',)",2
"('months',)",2
"('accounting',)",2
"('market',)",2
"('monetary',)",2
"('calendar',)",2
"('accessibility',)",2
"('contact',)",2
"('update',)",2
"('skip',)",1
"('content',)",1
"('uphousing',)",1
"('expandinput',)",1
"('minimalmanufacturing',)",1
"('operationsrefiners',)",1
"('mixedhiring',)",1
"('monthsnonfinancial',)",1
"('clientsaccounting',)",1
"('updemand',)",1
"('servicesconsumer',)",1
"('yearmost',)",1
"('yearendreports',)",1
"('marketsinglefamily',)",1
"('activityconditions',)",1
"('timebanking',)",1
"('aggressivelydemand',)",1
"('tighton',)",1
"('reportsagriculture',)",1
"('pricesthe',)",1
"('districtsprices',)",1
"('districtwage',)",1
"('reformhiring',)",1
