NGram,Frequency
"('in',)",375
"('and',)",339
"('the',)",300
"('districts',)",187
"('to',)",164
"('reported',)",153
"('were',)",132
"('for',)",114
"('of',)",106
"('district',)",92
"('as',)",84
"('that',)",78
"('a',)",77
"('activity',)",72
"('noted',)",72
"('prices',)",71
"('city',)",70
"('demand',)",69
"('or',)",68
"('was',)",66
"('new',)",65
"('san',)",65
"('kansas',)",64
"('francisco',)",62
"('on',)",60
"('dallas',)",59
"('york',)",56
"('cleveland',)",56
"('chicago',)",53
"('with',)",51
"('sales',)",48
"('some',)",48
"('real',)",48
"('estate',)",48
"('said',)",45
"('construction',)",45
"('minneapolis',)",44
"('contacts',)",44
"('atlanta',)",41
"('most',)",41
"('also',)",39
"('philadelphia',)",38
"('richmond',)",38
"('remained',)",36
"('but',)",33
"('loans',)",33
"('boston',)",32
"('st',)",32
"('louis',)",32
"('while',)",30
"('increases',)",30
"('although',)",30
"('due',)",30
"('high',)",30
"('loan',)",30
"('continued',)",30
"('increased',)",30
"('sluggish',)",27
"('several',)",27
"('services',)",27
"('across',)",27
"('residential',)",27
"('weak',)",27
"('retail',)",27
"('higher',)",27
"('indicated',)",27
"('at',)",26
"('consumer',)",26
"('home',)",26
"('costs',)",26
"('overall',)",24
"('growth',)",24
"('mixed',)",24
"('generally',)",24
"('lending',)",24
"('more',)",24
"('especially',)",24
"('other',)",23
"('energy',)",23
"('stable',)",21
"('all',)",21
"('weakness',)",21
"('be',)",21
"('reporting',)",21
"('conditions',)",21
"('decline',)",21
"('characterized',)",18
"('spending',)",18
"('it',)",18
"('declined',)",18
"('many',)",18
"('markets',)",18
"('commercial',)",18
"('pressures',)",18
"('strong',)",18
"('cited',)",18
"('little',)",15
"('described',)",15
"('industries',)",15
"('price',)",15
"('increasing',)",15
"('input',)",15
"('particularly',)",15
"('labor',)",15
"('such',)",15
"('business',)",15
"('firms',)",15
"('expected',)",15
"('equipment',)",15
"('manufacturers',)",15
"('further',)",15
"('rising',)",15
"('standards',)",15
"('slight',)",12
"('slowing',)",12
"('items',)",12
"('manufacturing',)",12
"('country',)",12
"('agricultural',)",12
"('rise',)",12
"('fuel',)",12
"('wage',)",12
"('market',)",12
"('an',)",12
"('however',)",12
"('among',)",12
"('vehicles',)",12
"('auto',)",12
"('including',)",12
"('area',)",12
"('cost',)",12
"('slightly',)",12
"('declines',)",12
"('gas',)",12
"('oil',)",12
"('not',)",11
"('reports',)",11
"('last',)",11
"('sector',)",11
"('report',)",9
"('federal',)",9
"('reserve',)",9
"('economic',)",9
"('slowed',)",9
"('steady',)",9
"('tourist',)",9
"('service',)",9
"('materials',)",9
"('food',)",9
"('skilled',)",9
"('workers',)",9
"('tourism',)",9
"('expectations',)",9
"('inventories',)",9
"('foreign',)",9
