NGram,Frequency
"('and',)",258
"('in',)",183
"('the',)",180
"('that',)",150
"('to',)",148
"('reported',)",99
"('districts',)",91
"('reports',)",88
"('for',)",84
"('were',)",78
"('activity',)",75
"('of',)",73
"('demand',)",72
"('was',)",69
"('atlanta',)",61
"('noted',)",60
"('dallas',)",56
"('city',)",53
"('continued',)",51
"('kansas',)",50
"('most',)",50
"('new',)",44
"('chicago',)",44
"('according',)",42
"('on',)",40
"('strong',)",39
"('york',)",38
"('prices',)",36
"('philadelphia',)",35
"('cleveland',)",35
"('richmond',)",35
"('a',)",35
"('as',)",33
"('sales',)",33
"('generally',)",33
"('san',)",32
"('francisco',)",32
"('increased',)",30
"('remained',)",30
"('production',)",30
"('minneapolis',)",29
"('commercial',)",27
"('some',)",27
"('industries',)",27
"('while',)",27
"('had',)",27
"('district',)",27
"('boston',)",25
"('contacts',)",25
"('conditions',)",24
"('weak',)",24
"('varied',)",24
"('costs',)",24
"('2008',)",22
"('mixed',)",21
"('indicated',)",21
"('estate',)",21
"('be',)",21
"('overall',)",21
"('said',)",21
"('from',)",20
"('real',)",20
"('manufacturing',)",20
"('but',)",18
"('described',)",18
"('by',)",18
"('sector',)",18
"('whereas',)",18
"('st',)",17
"('louis',)",17
"('however',)",17
"('with',)",15
"('tourism',)",15
"('products',)",15
"('lending',)",15
"('lower',)",15
"('construction',)",15
"('wage',)",15
"('energy',)",15
"('at',)",14
"('services',)",14
"('home',)",14
"('report',)",12
"('through',)",12
"('pace',)",12
"('increase',)",12
"('retail',)",12
"('spending',)",12
"('positive',)",12
"('transportation',)",12
"('loan',)",12
"('cited',)",12
"('workers',)",12
"('steady',)",12
"('food',)",12
"('several',)",12
"('levels',)",12
"('robust',)",12
"('also',)",12
"('relatively',)",12
"('expanding',)",12
"('markets',)",12
"('nonfinancial',)",11
"('federal',)",9
"('reserve',)",9
"('suggest',)",9
"('during',)",9
"('period',)",9
"('december',)",9
"('slower',)",9
"('among',)",9
"('holiday',)",9
"('weakness',)",9
"('residential',)",9
"('across',)",9
"('housingrelated',)",9
"('imports',)",9
"('although',)",9
"('declines',)",9
"('skilled',)",9
"('increases',)",9
"('moderate',)",9
"('energyrelated',)",9
"('many',)",9
"('higher',)",9
"('producers',)",9
"('agricultural',)",9
"('favorable',)",9
"('below',)",9
"('or',)",9
"('solid',)",9
"('upbeat',)",9
"('firms',)",9
"('led',)",9
"('housing',)",9
"('manufacturers',)",9
"('equipment',)",9
"('inventories',)",9
"('stable',)",9
"('rising',)",9
"('refinancing',)",9
"('significant',)",9
"('labor',)",9
"('pressures',)",9
"('businesses',)",8
"('outside',)",8
"('well',)",8
"('consumer',)",8
"('rates',)",8
"('modestly',)",6
"('survey',)",6
"('midnovember',)",6
"('further',)",6
"('quite',)",6
"('all',)",6
"('noting',)",6
"('industry',)",6
"('export',)",6
"('orders',)",6
"('volumes',)",6
"('volume',)",6
"('industrial',)",6
"('credit',)",6
"('standards',)",6
"('decline',)",6
"('service',)",6
"('petrochemicals',)",6
"('metals',)",6
"('inputs',)",6
"('because',)",6
"('droughtstricken',)",6
"('areas',)",6
"('yearago',)",6
"('merchants',)",6
"('foreign',)",6
"('boost',)",6
"('vehicle',)",6
"('late',)",6
"('vehicles',)",6
"('sluggish',)",6
"('weaker',)",6
"('flat',)",6
"('observed',)",6
"('winter',)",6
"('visitors',)",6
"('europe',)",6
"('especially',)",6
"('parts',)",6
"('have',)",6
"('temporary',)",6
"('instance',)",6
"('employment',)",6
"('weaken',)",6
"('output',)",6
"('aircraft',)",6
"('rise',)",6
"('domestic',)",6
"('goods',)",6
"('high',)",6
"('anticipate',)",6
"('eased',)",6
"('risen',)",6
"('leasing',)",6
"('slowed',)",6
"('rents',)",6
"('rental',)",6
"('backlogs',)",6
"('pressure',)",6
"('crop',)",6
"('low',)",6
"('drilling',)",6
"('limited',)",6
"('input',)",6
