NGram,Frequency
"('in', 'the')",124
"('continued', 'to')",76
"('real', 'estate')",55
"('demand', 'for')",49
"('of', 'the')",46
"('contacts', 'in')",35
"('since', 'the')",32
"('reported', 'that')",31
"('to', 'be')",31
"('the', 'last')",31
"('noted', 'that')",30
"('activity', 'in')",27
"('due', 'to')",27
"('to', 'the')",26
"('kansas', 'city')",25
"('last', 'report')",25
"('san', 'francisco')",24
"('increase', 'in')",24
"('the', 'year')",23
"('over', 'the')",23
"('growth', 'in')",22
"('the', 'district')",22
"('new', 'york')",21
"('at', 'a')",21
"('commercial', 'real')",21
"('during', 'the')",20
"('for', 'the')",20
"('a', 'year')",20
"('sales', 'were')",19
"('continue', 'to')",19
"('in', 'boston')",18
"('increases', 'in')",18
"('that', 'the')",18
"('the', 'first')",18
"('and', 'san')",17
"('the', 'past')",17
"('to', 'increase')",17
"('according', 'to')",17
"('loan', 'demand')",16
"('were', 'up')",16
"('february', 'and')",16
"('contacts', 'noted')",16
"('with', 'the')",15
"('gas', 'prices')",15
"('natural', 'gas')",15
"('in', 'demand')",15
"('from', 'the')",15
"('and', 'the')",15
"('in', 'february')",15
"('in', 'new')",14
"('indicated', 'that')",14
"('contacts', 'reported')",14
"('year', 'ago')",14
"('compared', 'with')",14
"('warm', 'weather')",13
"('a', 'modest')",13
"('st', 'louis')",13
"('late', 'february')",13
"('construction', 'activity')",13
"('that', 'they')",13
"('return', 'to')",13
"('plans', 'to')",13
"('sales', 'in')",12
"('districts', 'reported')",12
"('and', 'kansas')",12
"('consumer', 'spending')",12
"('to', 'improve')",12
"('the', 'outlook')",12
"('and', 'industrial')",12
"('an', 'increase')",12
"('to', 'top')",12
"('to', 'report')",12
"('several', 'contacts')",12
"('and', 'march')",12
"('number', 'of')",12
"('outlook', 'for')",11
"('increased', 'in')",11
"('to', 'a')",11
"('estate', 'activity')",11
"('fuel', 'costs')",11
"('expected', 'to')",11
"('on', 'the')",11
"('a', 'contact')",11
"('sales', 'of')",11
"('majority', 'of')",11
"('and', 'dallas')",10
"('and', 'construction')",10
"('demand', 'was')",10
"('about', 'the')",10
"('sales', 'and')",10
"('a', 'few')",10
"('remained', 'strong')",10
"('prices', 'and')",10
"('prices', 'for')",10
"('in', 'recent')",10
"('percent', 'in')",10
"('office', 'and')",10
"('with', 'a')",10
"('home', 'sales')",10
"('expectations', 'for')",10
"('the', 'next')",10
"('past', 'six')",10
"('in', 'late')",10
"('reporting', 'period')",10
"('steady', 'or')",9
"('pressure', 'on')",9
"('the', 'boston')",9
"('boston', 'and')",9
"('in', 'cleveland')",9
"('said', 'that')",9
"('cleveland', 'and')",9
"('capital', 'spending')",9
"('richmond', 'and')",9
"('have', 'been')",9
"('continues', 'to')",9
"('as', 'a')",9
"('energy', 'and')",9
"('has', 'been')",9
"('wage', 'pressures')",9
"('in', 'contrast')",9
"('since', 'our')",9
"('strength', 'in')",9
"('picked', 'up')",9
"('beige', 'book')",9
"('auto', 'sales')",9
"('the', 'previous')",9
"('firms', 'reported')",9
"('six', 'weeks')",9
"('on', 'a')",9
"('the', 'majority')",9
"('in', 'sales')",9
"('gasoline', 'prices')",9
"('announced', 'plans')",9
"('in', 'most')",8
"('in', 'many')",8
"('they', 'are')",8
"('residential', 'real')",8
"('fuel', 'prices')",8
"('improvement', 'in')",8
"('input', 'costs')",8
"('city', 'and')",8
"('pickup', 'in')",8
"('cleveland', 'richmond')",8
"('noted', 'a')",8
"('commercial', 'and')",8
"('to', 'rise')",8
"('information', 'technology')",8
"('manufacturing', 'and')",8
"('to', 'pass')",8
"('most', 'of')",8
"('of', '2012')",8
"('sales', 'growth')",8
"('of', 'our')",8
"('our', 'contacts')",8
"('our', 'last')",8
"('the', 'pace')",8
"('from', 'a')",8
"('to', 'continue')",8
"('and', 'a')",8
"('most', 'contacts')",8
"('contacts', 'expect')",8
"('year', 'earlier')",8
"('sales', 'activity')",8
"('of', 'new')",8
"('as', 'well')",8
"('in', 'some')",8
"('prices', 'were')",8
"('to', 'expand')",7
"('most', 'districts')",7
"('several', 'districts')",7
"('were', 'generally')",7
"('higher', 'fuel')",7
"('and', 'chicago')",7
"('rise', 'in')",7
"('were', 'mixed')",7
"('strong', 'in')",7
