NGram,Frequency
"('in',)",654
"('and',)",634
"('the',)",595
"('to',)",341
"('a',)",287
"('of',)",272
"('for',)",209
"('that',)",176
"('were',)",160
"('contacts',)",158
"('reported',)",146
"('prices',)",135
"('sales',)",134
"('activity',)",103
"('with',)",102
"('demand',)",100
"('was',)",99
"('as',)",96
"('year',)",95
"('continued',)",94
"('construction',)",92
"('on',)",90
"('increased',)",89
"('growth',)",89
"('from',)",85
"('remained',)",78
"('but',)",74
"('new',)",72
"('district',)",71
"('at',)",71
"('period',)",70
"('estate',)",62
"('report',)",62
"('some',)",60
"('up',)",60
"('real',)",60
"('while',)",59
"('are',)",59
"('most',)",57
"('noted',)",56
"('strong',)",55
"('over',)",54
"('firms',)",53
"('last',)",51
"('since',)",50
"('low',)",49
"('have',)",49
"('manufacturing',)",48
"('is',)",48
"('slightly',)",48
"('increase',)",47
"('pace',)",46
"('commercial',)",46
"('districts',)",45
"('percent',)",45
"('spending',)",44
"('more',)",44
"('levels',)",44
"('months',)",44
"('retail',)",43
"('sector',)",43
"('business',)",42
"('by',)",42
"('an',)",42
"('than',)",41
"('said',)",39
"('rates',)",39
"('reports',)",38
"('several',)",37
"('services',)",37
"('lower',)",37
"('indicated',)",36
"('reporting',)",36
"('costs',)",36
"('market',)",35
"('modestly',)",34
"('increases',)",34
"('across',)",34
"('overall',)",34
"('energy',)",34
"('expected',)",34
"('residential',)",34
"('down',)",34
"('previous',)",33
"('march',)",32
"('rose',)",32
"('their',)",32
"('workers',)",32
"('modest',)",32
"('has',)",32
"('wages',)",31
"('consumer',)",30
"('gas',)",30
"('cleveland',)",30
"('home',)",30
"('one',)",30
"('higher',)",29
"('this',)",29
"('or',)",29
"('february',)",28
"('chicago',)",28
"('they',)",28
"('manufacturers',)",28
"('little',)",28
"('contact',)",28
"('loan',)",28
"('be',)",28
"('credit',)",27
"('steady',)",27
"('however',)",27
"('industry',)",27
"('dallas',)",27
"('had',)",27
"('also',)",27
"('boston',)",26
"('mixed',)",26
"('moderate',)",26
"('compared',)",26
"('labor',)",25
"('price',)",25
"('all',)",25
"('conditions',)",24
"('richmond',)",24
"('other',)",24
"('ago',)",24
"('production',)",24
"('2016',)",24
"('generally',)",23
"('capital',)",23
"('recent',)",23
"('been',)",23
"('it',)",23
"('loans',)",23
"('city',)",22
"('oil',)",22
"('wage',)",22
"('firm',)",22
"('atlanta',)",21
"('earlier',)",21
"('about',)",20
"('not',)",20
"('winter',)",20
"('declined',)",20
"('inventories',)",20
"('grew',)",20
"('stronger',)",20
"('san',)",19
"('francisco',)",19
"('auto',)",19
"('decline',)",19
"('number',)",19
"('though',)",19
"('weak',)",19
"('remain',)",19
"('york',)",18
"('robust',)",18
"('financial',)",18
"('mild',)",18
"('sectors',)",18
"('transportation',)",18
"('moderately',)",18
"('products',)",18
"('industrial',)",18
"('areas',)",18
"('natural',)",18
"('input',)",18
"('expect',)",18
"('first',)",18
"('during',)",18
"('markets',)",17
"('both',)",17
"('service',)",17
"('st',)",17
"('further',)",17
"('projects',)",17
"('lending',)",17
"('high',)",17
"('pressure',)",17
"('plans',)",17
"('flat',)",17
"('inventory',)",17
"('tourism',)",16
"('kansas',)",16
"('philadelphia',)",16
"('leasing',)",16
"('positive',)",16
"('employment',)",16
"('weather',)",16
"('balance',)",16
"('volumes',)",16
"('food',)",16
"('six',)",16
"('slowed',)",16
"('weeks',)",16
"('slight',)",16
"('remains',)",16
"('retailers',)",15
"('contrast',)",15
"('hiring',)",15
"('somewhat',)",15
"('capacity',)",15
"('because',)",15
"('according',)",15
"('expectations',)",15
"('many',)",15
"('particularly',)",15
"('dealers',)",15
"('change',)",15
"('orders',)",15
"('past',)",15
"('cited',)",14
"('goods',)",14
"('louis',)",14
"('coming',)",14
"('quality',)",14
"('elevated',)",14
"('there',)",14
"('investment',)",14
"('picked',)",14
"('continue',)",14
"('industries',)",14
"('improved',)",14
"('our',)",14
"('same',)",14
"('outlook',)",13
"('such',)",13
"('healthcare',)",13
"('staffing',)",13
"('agricultural',)",13
"('steel',)",13
"('general',)",13
"('singlefamily',)",13
"('builders',)",13
"('margins',)",13
"('return',)",13
"('2015',)",13
"('quarter',)",13
"('due',)",13
"('although',)",13
"('prior',)",13
"('equipment',)",13
"('expanded',)",12
"('expansion',)",12
"('rate',)",12
"('future',)",12
"('rents',)",12
"('through',)",12
"('survey',)",12
"('respondents',)",12
"('average',)",12
"('time',)",12
"('which',)",12
"('among',)",12
"('homes',)",12
"('upward',)",12
"('optimistic',)",11
"('largely',)",11
"('travel',)",11
"('minneapolis',)",11
"('technology',)",11
"('declines',)",11
"('shortages',)",11
"('shipments',)",11
"('machinery',)",11
"('unchanged',)",11
"('office',)",11
"('pressures',)",11
"('fuel',)",11
"('stable',)",11
"('supply',)",11
"('very',)",11
"('after',)",11
"('major',)",11
"('despite',)",11
"('bankers',)",11
"('announced',)",11
"('crop',)",11
"('houston',)",11
"('late',)",10
"('categories',)",10
"('well',)",10
"('producers',)",10
"('improvement',)",10
"('rising',)",10
"('vacancy',)",10
"('dollar',)",10
"('those',)",10
"('manufacturer',)",10
"('yearoveryear',)",10
"('note',)",10
"('traffic',)",10
"('no',)",10
"('primarily',)",10
"('volume',)",10
"('month',)",10
"('northern',)",10
"('next',)",10
"('including',)",10
"('virginia',)",10
"('spring',)",9
"('skilled',)",9
"('ongoing',)",9
"('slower',)",9
"('professional',)",9
"('health',)",9
"('solid',)",9
"('rise',)",9
"('multifamily',)",9
"('moved',)",9
"('its',)",9
