NGram,Frequency
"('in',)",592
"('and',)",574
"('the',)",541
"('to',)",352
"('of',)",276
"('a',)",209
"('for',)",188
"('were',)",163
"('that',)",142
"('reported',)",133
"('sales',)",125
"('was',)",106
"('activity',)",104
"('contacts',)",102
"('prices',)",102
"('with',)",89
"('continued',)",88
"('demand',)",87
"('growth',)",86
"('as',)",82
"('year',)",81
"('at',)",76
"('but',)",74
"('period',)",72
"('are',)",71
"('from',)",68
"('strong',)",67
"('District',)",62
"('report',)",61
"('construction',)",61
"('increased',)",59
"('over',)",58
"('reporting',)",57
"('remained',)",57
"('on',)",56
"('up',)",54
"('noted',)",54
"('slightly',)",54
"('while',)",52
"('have',)",52
"('is',)",50
"('commercial',)",50
"('estate',)",49
"('A',)",47
"('since',)",46
"('levels',)",46
"('The',)",46
"('by',)",46
"('real',)",46
"('across',)",45
"('new',)",45
"('previous',)",44
"('some',)",44
"('firms',)",43
"('sector',)",43
"('modest',)",39
"('increase',)",39
"('pace',)",38
"('Contacts',)",37
"('In',)",37
"('last',)",37
"('most',)",36
"('mixed',)",36
"('has',)",36
"('percent',)",36
"('than',)",35
"('be',)",34
"('retail',)",33
"('their',)",32
"('market',)",32
"('rose',)",32
"('little',)",30
"('Districts',)",30
"('contact',)",30
"('New',)",29
"('during',)",29
"('rates',)",29
"('this',)",29
"('low',)",29
"('loan',)",29
"('said',)",29
"('May',)",28
"('an',)",27
"('reports',)",27
"('services',)",26
"('City',)",26
"('expect',)",26
"('flat',)",26
"('higher',)",26
"('June',)",26
"('Dallas',)",25
"('increases',)",25
"('recent',)",25
"('or',)",25
"('manufacturing',)",25
"('production',)",25
"('months',)",24
"('business',)",24
"('compared',)",24
"('expected',)",24
"('change',)",23
"('Cleveland',)",23
"('moderate',)",23
"('other',)",23
"('workers',)",23
"('generally',)",23
"('high',)",23
"('down',)",23
"('overall',)",23
"('all',)",23
"('York',)",22
"('industry',)",22
"('more',)",22
"('indicated',)",22
"('steady',)",22
"('somewhat',)",22
"('modestly',)",21
"('labor',)",21
"('lower',)",21
"('pressures',)",21
"('been',)",21
"('oil',)",21
"('products',)",21
"('sectors',)",20
"('However',)",20
"('industrial',)",20
"('loans',)",20
"('gas',)",20
"('earlier',)",20
"('wage',)",20
"('unchanged',)",19
"('Richmond',)",19
"('picked',)",19
"('Overall',)",19
"('also',)",19
"('costs',)",19
"('homes',)",19
"('price',)",19
"('both',)",19
"('not',)",18
"('remain',)",18
"('consumer',)",18
"('Residential',)",18
"('next',)",18
"('improved',)",18
"('conditions',)",18
"('same',)",18
"('employment',)",17
"('hiring',)",17
"('slight',)",17
"('although',)",17
"('outlook',)",17
"('Kansas',)",17
"('declined',)",17
"('manufacturers',)",17
"('Construction',)",17
"('home',)",17
"('lending',)",17
"('Demand',)",17
"('credit',)",17
"('number',)",17
"('will',)",17
"('they',)",17
"('moderately',)",17
"('St',)",16
"('pressure',)",16
"('decline',)",16
"('spending',)",16
"('slowed',)",16
"('however',)",16
"('orders',)",16
"('inventory',)",16
"('through',)",16
"('Virginia',)",16
"('one',)",16
"('half',)",16
"('weeks',)",16
"('Carolina',)",16
"('Atlanta',)",15
"('weak',)",15
"('Chicago',)",15
"('time',)",15
"('inventories',)",15
"('few',)",15
"('leasing',)",15
"('auto',)",15
"('ago',)",15
"('quarter',)",15
"('plans',)",15
"('about',)",15
"('rise',)",15
"('North',)",15
"('survey',)",15
"('Boston',)",14
"('wages',)",14
"('Louis',)",14
"('which',)",14
"('robust',)",14
"('volume',)",14
"('Estate',)",14
"('continue',)",14
"('Commercial',)",14
"('grew',)",14
"('major',)",14
"('projects',)",14
"('balance',)",14
"('well',)",14
"('though',)",14
"('due',)",14
"('San',)",13
"('staffing',)",13
"('positive',)",13
"('Most',)",13
"('its',)",13
"('markets',)",13
"('Return',)",13
"('expectations',)",13
"('years',)",13
"('remains',)",13
"('margins',)",13
"('coming',)",13
"('Prices',)",12
"('skilled',)",12
"('Manufacturing',)",12
"('no',)",12
"('Francisco',)",12
"('employees',)",12
"('input',)",12
"('declines',)",12
"('tourism',)",12
"('energy',)",12
"('transportation',)",12
"('singlefamily',)",12
"('expansion',)",12
"('quality',)",12
"('2015',)",12
"('supply',)",12
"('past',)",12
"('below',)",12
"('fell',)",12
"('changed',)",12
"('vehicles',)",12
"('further',)",12
"('areas',)",12
"('equipment',)",12
"('grow',)",11
"('Reports',)",11
"('changes',)",11
"('Philadelphia',)",11
"('Retail',)",11
"('housing',)",11
"('contrast',)",11
"('Activity',)",11
"('slower',)",11
"('Several',)",11
"('steel',)",11
"('professional',)",11
"('residential',)",11
"('varied',)",11
"('average',)",11
"('firm',)",11
"('2016',)",11
"('manufacturer',)",11
"('level',)",11
"('capital',)",11
"('categories',)",11
"('prior',)",11
"('Beige',)",11
"('Book',)",11
"('yearago',)",11
"('Minnesota',)",11
"('positions',)",10
"('such',)",10
"('except',)",10
"('gains',)",10
"('second',)",10
"('particularly',)",10
"('small',)",10
"('increasing',)",10
"('rising',)",10
"('shortages',)",10
"('Sales',)",10
"('there',)",10
"('corn',)",10
"('IT',)",9
"('Spending',)",9
"('Minneapolis',)",9
"('retailers',)",9
"('future',)",9
"('hospitality',)",9
"('metals',)",9
"('cited',)",9
"('slowdown',)",9
"('available',)",9
"('stable',)",9
"('rate',)",9
"('multifamily',)",9
"('slow',)",9
"('standards',)",9
"('good',)",9
"('weakness',)",9
"('large',)",9
"('Real',)",9
"('region',)",9
"('businesses',)",9
"('seasonal',)",9
"('many',)",9
"('builders',)",9
"('announced',)",9
"('healthcare',)",8
"('optimistic',)",8
"('general',)",8
"('described',)",8
"('cargo',)",8
"('off',)",8
"('softened',)",8
"('crops',)",8
"('availability',)",8
"('yearoveryear',)",8
"('only',)",8
"('One',)",8
"('office',)",8
"('space',)",8
"('rents',)",8
"('building',)",8
"('six',)",8
"('because',)",8
"('primarily',)",8
"('had',)",8
"('pickup',)",8
"('brokers',)",8
"('machinery',)",8
"('dealers',)",8
"('broker',)",8
"('three',)",8
"('industries',)",8
"('producers',)",8
"('expanded',)",8
"('food',)",8
"('South',)",8
"('Maryland',)",8
"('our',)",8
"('service',)",8
"('Houston',)",8
"('Employment',)",7
"('fields',)",7
"('largely',)",7
"('Wage',)",7
"('noting',)",7
"('selling',)",7
"('ahead',)",7
"('expressed',)",7
"('including',)",7
"('technology',)",7
"('mostly',)",7
"('declining',)",7
"('Consumer',)",7
"('farmers',)",7
"('very',)",7
"('natural',)",7
"('summer',)",7
"('season',)",7
"('state',)",7
"('reportedly',)",7
"('after',)",7
"('attributed',)",7
"('materials',)",7
"('pricing',)",7
"('those',)",7
"('third',)",7
"('revenues',)",7
"('dollar',)",7
"('On',)",7
"('parts',)",7
"('states',)",7
"('area',)",7
"('interest',)",7
"('these',)",7
"('Manufacturers',)",7
"('upward',)",7
"('cost',)",7
"('early',)",7
"('goods',)",7
"('saw',)",7
"('domestic',)",7
"('favorable',)",7
"('capacity',)",7
"('above',)",7
"('international',)",7
"('month',)",7
"('according',)",7
"('Wages',)",6
"('cautious',)",6
"('crop',)",6
"('fairly',)",6
"('sluggish',)",6
"('Business',)",6
"('following',)",6
"('lack',)",6
"('among',)",6
"('it',)",6
"('growing',)",6
"('economic',)",6
"('vote',)",6
"('customers',)",6
"('less',)",6
"('bookings',)",6
"('exports',)",6
"('greater',)",6
"('vacancy',)",6
"('held',)",6
"('light',)",6
"('hotel',)",6
"('job',)",6
"('global',)",6
"('April',)",6
"('decreased',)",6
"('still',)",6
"('strengthened',)",6
"('local',)",6
"('improvement',)",6
"('servicesector',)",6
"('volumes',)",6
"('contractors',)",6
"('shipments',)",6
"('current',)",6
"('healthy',)",6
"('inflation',)",6
"('would',)",6
"('slowing',)",6
"('highskilled',)",6
"('motor',)",6
"('majority',)",6
"('An',)",6
"('stated',)",6
"('furniture',)",6
"('traffic',)",6
"('facilities',)",6
"('respondents',)",6
"('hightech',)",6
"('MinneapolisSt',)",6
"('Paul',)",6
"('several',)",5
"('relative',)",5
"('decrease',)",5
"('automobile',)",5
"('occupancy',)",5
"('lots',)",5
"('improving',)",5
"('West',)",5
"('improve',)",5
"('coal',)",5
"('either',)",5
"('2',)",5
"('he',)",5
"('starting',)",5
"('resulting',)",5
"('first',)",5
"('chain',)",5
"('reduced',)",5
"('his',)",5
"('Services',)",5
"('experienced',)",5
"('competition',)",5
"('financial',)",5
"('especially',)",5
"('property',)",5
"('Rhode',)",5
"('Island',)",5
"('uptick',)",5
"('see',)",5
"('Retailers',)",5
"('used',)",5
"('soft',)",5
"('end',)",5
"('resale',)",5
"('5',)",5
"('properties',)",5
"('edged',)",5
"('staff',)",5
"('late',)",5
"('banks',)",5
"('Bankers',)",5
"('Third',)",5
"('may',)",5
"('expecting',)",5
"('Expectations',)",5
"('apparel',)",5
"('rain',)",5
"('better',)",5
"('relatively',)",5
"('banking',)",5
"('characterized',)",5
"('environment',)",5
"('competitive',)",5
"('development',)",5
"('locations',)",5
"('material',)",5
"('ongoing',)",5
"('jobs',)",5
"('significant',)",5
"('again',)",5
"('concern',)",5
"('segment',)",5
"('trucks',)",5
"('Growth',)",5
"('Transportation',)",5
"('chemical',)",5
"('executive',)",5
"('According',)",5
"('range',)",5
"('cotton',)",5
"('layoffs',)",5
"('occupations',)",5
"('Gulf',)",5
"('Coast',)",5
"('soybeans',)",5
"('boosted',)",5
"('Auto',)",5
"('expand',)",5
"('Montana',)",5
"('anticipated',)",5
"('Dakota',)",5
"('cattle',)",5
"('Firms',)",4
"('grocery',)",4
"('strongest',)",4
"('entrylevel',)",4
"('Tourism',)",4
"('signs',)",4
"('Other',)",4
"('primary',)",4
"('weaker',)",4
"('indicate',)",4
"('rail',)",4
"('almost',)",4
"('rent',)",4
"('project',)",4
"('Finance',)",4
"('Loan',)",4
"('where',)",4
"('Natural',)",4
"('Resources',)",4
"('fall',)",4
"('operating',)",4
"('rigs',)",4
"('impact',)",4
"('acquisitions',)",4
"('difficulty',)",4
"('forward',)",4
"('seen',)",4
"('While',)",4
