NGram,Frequency
"('and',)",633
"('in',)",610
"('the',)",551
"('to',)",341
"('of',)",271
"('a',)",233
"('for',)",203
"('that',)",173
"('were',)",160
"('reported',)",146
"('sales',)",126
"('prices',)",122
"('contacts',)",119
"('with',)",100
"('was',)",99
"('year',)",95
"('as',)",94
"('activity',)",93
"('continued',)",93
"('increased',)",89
"('demand',)",87
"('from',)",85
"('growth',)",84
"('remained',)",78
"('on',)",78
"('but',)",74
"('construction',)",74
"('District',)",70
"('period',)",70
"('at',)",69
"('report',)",62
"('up',)",60
"('are',)",59
"('noted',)",56
"('strong',)",55
"('A',)",54
"('over',)",53
"('while',)",52
"('some',)",51
"('last',)",51
"('have',)",49
"('estate',)",48
"('is',)",48
"('slightly',)",48
"('increase',)",47
"('since',)",47
"('low',)",46
"('pace',)",46
"('firms',)",46
"('Districts',)",45
"('percent',)",45
"('The',)",44
"('In',)",44
"('levels',)",44
"('real',)",44
"('months',)",44
"('new',)",44
"('sector',)",43
"('more',)",42
"('by',)",41
"('than',)",41
"('most',)",40
"('said',)",39
"('Contacts',)",39
"('rates',)",39
"('an',)",37
"('lower',)",37
"('indicated',)",36
"('reporting',)",36
"('costs',)",35
"('modestly',)",34
"('increases',)",34
"('market',)",34
"('expected',)",34
"('down',)",34
"('commercial',)",34
"('spending',)",33
"('across',)",33
"('manufacturing',)",33
"('previous',)",33
"('March',)",32
"('rose',)",32
"('workers',)",32
"('modest',)",32
"('has',)",32
"('their',)",31
"('gas',)",30
"('Cleveland',)",30
"('services',)",29
"('business',)",29
"('or',)",29
"('February',)",28
"('Chicago',)",28
"('higher',)",28
"('New',)",28
"('contact',)",28
"('be',)",28
"('steady',)",27
"('Dallas',)",27
"('had',)",27
"('also',)",27
"('energy',)",27
"('Boston',)",26
"('industry',)",26
"('they',)",26
"('mixed',)",26
"('little',)",26
"('moderate',)",26
"('this',)",26
"('home',)",26
"('loan',)",26
"('compared',)",25
"('Richmond',)",24
"('retail',)",24
"('ago',)",24
"('2016',)",24
"('all',)",23
"('been',)",23
"('generally',)",22
"('credit',)",22
"('conditions',)",22
"('labor',)",22
"('price',)",22
"('recent',)",22
"('production',)",22
"('one',)",22
"('wages',)",22
"('firm',)",22
"('loans',)",22
"('consumer',)",21
"('Atlanta',)",21
"('overall',)",21
"('winter',)",20
"('declined',)",20
"('reports',)",20
"('manufacturers',)",20
"('other',)",20
"('grew',)",20
"('earlier',)",20
"('City',)",19
"('San',)",19
"('Francisco',)",19
"('several',)",19
"('decline',)",19
"('Retail',)",19
"('number',)",19
"('oil',)",19
"('weak',)",19
"('remain',)",19
"('about',)",18
"('Several',)",18
"('not',)",18
"('York',)",18
"('Reports',)",18
"('though',)",18
"('mild',)",18
"('sectors',)",18
"('moderately',)",18
"('stronger',)",18
"('products',)",18
"('Construction',)",18
"('Residential',)",18
"('areas',)",18
"('expect',)",18
"('wage',)",18
"('during',)",18
"('markets',)",17
"('robust',)",17
"('Most',)",17
"('St',)",17
"('inventories',)",17
"('projects',)",17
"('input',)",17
"('high',)",17
"('pressure',)",17
"('flat',)",17
"('inventory',)",17
"('However',)",16
"('Kansas',)",16
"('Philadelphia',)",16
"('positive',)",16
"('service',)",16
"('weather',)",16
"('balance',)",16
"('capital',)",16
"('further',)",16
"('volumes',)",16
"('Real',)",16
"('six',)",16
"('lending',)",16
"('slowed',)",16
"('residential',)",16
"('plans',)",16
"('weeks',)",16
"('slight',)",16
"('remains',)",16
"('leasing',)",15
"('both',)",15
"('contrast',)",15
"('Manufacturing',)",15
"('somewhat',)",15
"('food',)",15
"('particularly',)",15
"('industrial',)",15
"('change',)",15
"('past',)",15
"('cited',)",14
"('goods',)",14
"('Louis',)",14
"('financial',)",14
"('coming',)",14
"('quality',)",14
"('elevated',)",14
"('capacity',)",14
"('picked',)",14
"('continue',)",14
"('because',)",14
"('Estate',)",14
"('improved',)",14
"('IT',)",14
"('first',)",14
"('dealers',)",14
"('orders',)",14
"('same',)",14
"('outlook',)",13
"('such',)",13
"('Business',)",13
"('employment',)",13
"('healthcare',)",13
"('steel',)",13
"('Demand',)",13
"('industries',)",13
"('many',)",13
"('builders',)",13
"('Overall',)",13
"('margins',)",13
"('auto',)",13
"('Prices',)",13
"('Return',)",13
"('2015',)",13
"('quarter',)",13
"('our',)",13
"('prior',)",13
"('equipment',)",13
"('expanded',)",12
"('expansion',)",12
"('rate',)",12
"('future',)",12
"('singlefamily',)",12
"('Commercial',)",12
"('rents',)",12
"('natural',)",12
"('through',)",12
"('time',)",12
"('which',)",12
"('due',)",12
"('On',)",12
"('Spending',)",11
"('optimistic',)",11
"('largely',)",11
"('travel',)",11
"('Minneapolis',)",11
"('declines',)",11
"('transportation',)",11
"('shortages',)",11
"('shipments',)",11
"('machinery',)",11
"('general',)",11
"('unchanged',)",11
"('pressures',)",11
"('fuel',)",11
"('survey',)",11
"('stable',)",11
"('average',)",11
"('however',)",11
"('very',)",11
"('after',)",11
