NGram,Frequency
"('and',)",601
"('the',)",580
"('in',)",560
"('to',)",394
"('of',)",260
"('a',)",249
"('for',)",215
"('that',)",163
"('were',)",154
"('prices',)",152
"('reported',)",149
"('sales',)",145
"('contacts',)",139
"('demand',)",113
"('activity',)",110
"('as',)",104
"('continued',)",104
"('with',)",102
"('was',)",102
"('new',)",89
"('strong',)",89
"('from',)",85
"('on',)",80
"('district',)",78
"('construction',)",77
"('growth',)",75
"('some',)",75
"('remained',)",71
"('year',)",71
"('at',)",70
"('report',)",69
"('increased',)",68
"('firms',)",66
"('noted',)",64
"('estate',)",60
"('but',)",60
"('real',)",59
"('commercial',)",58
"('most',)",57
"('while',)",55
"('have',)",54
"('are',)",54
"('since',)",50
"('than',)",48
"('period',)",48
"('by',)",48
"('market',)",47
"('services',)",46
"('slightly',)",46
"('levels',)",45
"('manufacturing',)",45
"('low',)",45
"('percent',)",44
"('districts',)",43
"('sector',)",43
"('is',)",43
"('over',)",42
"('2016',)",42
"('rates',)",41
"('overall',)",41
"('across',)",41
"('up',)",41
"('york',)",39
"('business',)",38
"('more',)",38
"('previous',)",37
"('also',)",37
"('or',)",37
"('retail',)",37
"('residential',)",37
"('last',)",36
"('reporting',)",35
"('lower',)",35
"('an',)",35
"('steady',)",35
"('reports',)",34
"('city',)",33
"('however',)",33
"('their',)",32
"('flat',)",32
"('generally',)",32
"('december',)",32
"('indicated',)",31
"('spending',)",31
"('increases',)",31
"('expected',)",31
"('home',)",31
"('mixed',)",30
"('be',)",30
"('wage',)",30
"('oil',)",30
"('moderate',)",29
"('positive',)",29
"('pace',)",29
"('energy',)",29
"('increase',)",29
"('contact',)",29
"('one',)",29
"('months',)",29
"('has',)",28
"('cleveland',)",28
"('richmond',)",28
"('consumer',)",28
"('auto',)",28
"('loan',)",28
"('manufacturers',)",28
"('costs',)",28
"('production',)",27
"('high',)",26
"('during',)",26
"('cited',)",26
"('rose',)",26
"('labor',)",26
"('modest',)",25
"('further',)",25
"('gas',)",25
"('both',)",25
"('november',)",25
"('minneapolis',)",24
"('dallas',)",24
"('weather',)",24
