NGram,Frequency
"('in', 'the')",158
"('continued', 'to')",72
"('real', 'estate')",55
"('over', 'the')",48
"('demand', 'for')",47
"('since', 'the')",39
"('the', 'previous')",37
"('of', 'the')",37
"('growth', 'in')",33
"('reporting', 'period')",30
"('the', 'district')",28
"('a', 'year')",28
"('contacts', 'in')",26
"('to', 'be')",26
"('at', 'a')",26
"('during', 'the')",25
"('the', 'reporting')",25
"('commercial', 'real')",23
"('increase', 'in')",22
"('to', 'the')",22
"('reported', 'that')",22
"('new', 'york')",21
"('noted', 'that')",21
"('change', 'in')",19
"('picked', 'up')",19
"('were', 'mixed')",19
"('previous', 'report')",18
"('activity', 'was')",18
"('that', 'the')",18
"('the', 'next')",18
"('pace', 'of')",18
"('the', 'same')",18
"('the', 'pace')",17
"('year', 'earlier')",17
"('sales', 'of')",17
"('contacts', 'reported')",17
"('and', 'dallas')",16
"('and', 'the')",16
"('kansas', 'city')",16
"('number', 'of')",16
"('to', 'a')",16
"('the', 'last')",16
"('reported', 'a')",15
"('to', 'increase')",15
"('last', 'year')",15
"('for', 'the')",15
"('to', 'report')",15
"('year', 'ago')",15
"('across', 'the')",15
"('in', 'may')",15
"('st', 'louis')",14
"('and', 'construction')",14
"('return', 'to')",14
"('last', 'report')",14
"('in', 'new')",13
"('have', 'been')",13
"('from', 'the')",13
"('construction', 'activity')",13
"('the', 'number')",13
"('half', 'of')",13
"('compared', 'to')",13
"('little', 'change')",12
"('in', 'cleveland')",12
"('cleveland', 'and')",12
"('san', 'francisco')",12
"('in', 'most')",12
"('reporting', 'districts')",12
"('activity', 'in')",12
"('an', 'increase')",12
"('as', 'a')",12
"('estate', 'activity')",12
"('indicated', 'that')",12
"('continue', 'to')",12
"('loan', 'demand')",12
"('and', 'industrial')",12
"('of', 'a')",12
"('the', 'past')",12
"('on', 'balance')",12
"('from', 'a')",12
"('in', 'recent')",12
"('little', 'changed')",12
"('according', 'to')",12
"('due', 'to')",12
"('to', 'grow')",11
"('with', 'the')",11
"('up', 'in')",11
"('decline', 'in')",11
"('in', 'contrast')",11
"('new', 'orders')",11
"('in', 'demand')",11
"('on', 'the')",11
"('oil', 'and')",11
"('of', 'new')",11
"('this', 'year')",11
"('beige', 'book')",11
"('said', 'that')",11
"('wage', 'pressures')",10
"('with', 'a')",10
"('contact', 'in')",10
"('increases', 'in')",10
"('commercial', 'and')",10
"('and', 'gas')",10
"('contacts', 'expect')",10
"('expectations', 'for')",10
"('and', 'a')",10
"('as', 'well')",10
"('sales', 'were')",10
"('in', 'june')",10
"('compared', 'with')",10
"('contacts', 'noted')",10
"('north', 'carolina')",10
"('and', 'prices')",9
"('reports', 'of')",9
"('in', 'boston')",9
"('prices', 'were')",9
"('the', 'outlook')",9
"('retail', 'sales')",9
"('sales', 'activity')",9
"('residential', 'real')",9
"('home', 'sales')",9
"('most', 'of')",9
"('sales', 'and')",9
"('leasing', 'activity')",9
"('for', 'commercial')",9
"('one', 'contact')",9
