NGram,Frequency
"('the',)",581
"('in',)",566
"('and',)",529
"('to',)",353
"('a',)",291
"('of',)",280
"('that',)",163
"('were',)",154
"('reported',)",147
"('contacts',)",147
"('activity',)",146
"('for',)",142
"('sales',)",130
"('prices',)",124
"('continued',)",117
"('was',)",102
"('at',)",99
"('increased',)",89
"('with',)",87
"('construction',)",80
"('remained',)",79
"('demand',)",79
"('district',)",79
"('but',)",70
"('growth',)",68
"('slightly',)",68
"('pace',)",66
"('up',)",65
"('new',)",65
"('noted',)",63
"('estate',)",62
"('have',)",62
"('on',)",61
"('from',)",60
"('since',)",59
"('while',)",59
"('report',)",58
"('services',)",55
"('real',)",55
"('firms',)",54
"('year',)",54
"('manufacturing',)",52
"('moderate',)",51
"('most',)",51
"('as',)",51
"('period',)",51
"('modestly',)",50
"('commercial',)",49
"('some',)",49
"('january',)",48
"('increase',)",48
"('levels',)",48
"('an',)",47
"('sector',)",47
"('about',)",47
"('than',)",47
"('conditions',)",47
"('strong',)",47
"('business',)",46
"('previous',)",46
"('higher',)",45
"('modest',)",44
"('rates',)",43
"('increases',)",43
"('economic',)",42
"('overall',)",41
"('steady',)",41
"('2017',)",40
"('expected',)",40
"('indicated',)",39
"('retail',)",39
"('more',)",39
"('months',)",39
"('over',)",39
"('last',)",38
"('wages',)",38
"('reporting',)",36
"('has',)",36
"('percent',)",35
"('across',)",34
"('labor',)",34
"('one',)",34
"('rose',)",33
"('manufacturers',)",33
"('home',)",32
"('are',)",32
"('market',)",31
"('residential',)",31
"('moderately',)",31
"('sectors',)",31
"('employment',)",30
"('loan',)",30
"('spending',)",29
"('grew',)",29
"('they',)",29
"('production',)",29
"('be',)",28
"('industry',)",28
"('early',)",27
"('auto',)",27
"('said',)",27
"('mixed',)",27
"('their',)",27
"('been',)",27
"('consumer',)",26
"('markets',)",26
"('or',)",26
"('wage',)",26
"('picked',)",26
"('reports',)",25
"('during',)",25
"('low',)",24
"('this',)",24
"('however',)",24
"('lower',)",24
"('input',)",23
"('generally',)",22
"('prior',)",22
"('little',)",22
"('there',)",22
"('by',)",22
"('flat',)",22
"('expectations',)",22
"('price',)",22
"('all',)",21
"('energy',)",21
"('respondents',)",21
"('retailers',)",21
"('next',)",21
"('recent',)",20
"('rise',)",20
"('february',)",20
"('improved',)",20
"('2016',)",20
"('contact',)",20
"('costs',)",20
"('compared',)",20
"('optimistic',)",19
"('also',)",19
"('had',)",19
"('further',)",19
"('industrial',)",18
"('somewhat',)",18
"('outlook',)",18
"('weeks',)",18
"('is',)",18
"('orders',)",18
"('first',)",18
"('six',)",18
"('large',)",18
"('credit',)",18
"('tourism',)",17
"('staffing',)",17
"('pickup',)",17
"('balance',)",17
"('hiring',)",17
"('many',)",17
"('rising',)",17
"('quarter',)",17
"('transportation',)",16
"('expand',)",16
"('general',)",16
"('few',)",16
"('yearoveryear',)",16
"('york',)",16
"('although',)",16
"('slight',)",16
"('supply',)",16
"('expect',)",16
"('gas',)",16
"('policy',)",15
"('expanded',)",15
"('number',)",15
"('tight',)",15
"('though',)",15
"('uncertainty',)",15
"('high',)",15
"('slowed',)",15
"('unchanged',)",15
"('earlier',)",15
"('office',)",15
"('inventory',)",15
"('major',)",15
"('oil',)",15
"('survey',)",15
"('districts',)",14
"('businesses',)",14
"('two',)",14
"('it',)",14
"('pressures',)",14
"('which',)",14
"('among',)",14
"('information',)",14
"('average',)",14
"('will',)",14
"('ago',)",14
"('seasonal',)",14
"('loans',)",14
"('inventories',)",13
"('leasing',)",13
"('hospitality',)",13
"('changes',)",13
"('several',)",13
"('other',)",13
"('dealers',)",13
"('decline',)",13
"('gains',)",13
"('ahead',)",13
"('no',)",13
"('level',)",13
"('products',)",13
"('bankers',)",13
"('builders',)",13
"('natural',)",13
"('agricultural',)",13
"('financial',)",12
"('mostly',)",12
"('shortages',)",12
"('farm',)",12
"('expressed',)",12
"('positive',)",12
"('housing',)",12
"('saw',)",12
"('change',)",12
"('down',)",12
"('would',)",12
"('coming',)",12
"('remain',)",12
"('improvement',)",12
"('continue',)",12
"('interest',)",11
"('selling',)",11
"('cited',)",11
"('significant',)",11
"('agriculture',)",11
"('pressure',)",11
"('area',)",11
"('those',)",11
"('firm',)",11
"('remains',)",11
"('data',)",10
"('finance',)",10
"('through',)",10
"('stronger',)",10
"('homes',)",10
"('time',)",10
"('workers',)",10
"('both',)",10
"('concern',)",10
"('even',)",10
"('beige',)",10
"('book',)",10
"('multifamily',)",10
"('years',)",10
"('healthcare',)",10
"('tax',)",10
"('projects',)",10
"('december',)",10
"('despite',)",10
"('our',)",10
"('trade',)",10
"('rents',)",10
"('due',)",10
"('much',)",10
"('relatively',)",10
"('stable',)",9
"('banking',)",9
"('existing',)",9
"('changed',)",9
"('skilled',)",9
"('leisure',)",9
"('declines',)",9
"('after',)",9
"('confidence',)",9
"('shipments',)",9
"('capacity',)",9
"('particularly',)",9
"('north',)",9
"('city',)",9
"('anticipated',)",9
"('future',)",9
"('goods',)",9
"('not',)",9
"('boston',)",9
"('its',)",9
"('same',)",9
"('robust',)",9
"('vacancy',)",9
"('visit',)",9
"('service',)",9
"('professional',)",9
"('small',)",9
"('edged',)",9
"('declined',)",9
"('categories',)",9
"('according',)",9
"('received',)",9
"('capital',)",9
"('because',)",9
"('quality',)",9
"('majority',)",9
"('minneapolisst',)",9
"('paul',)",9
"('states',)",8
"('ongoing',)",8
"('lending',)",8
"('three',)",8
"('materials',)",8
"('revenues',)",8
"('strengthened',)",8
"('end',)",8
"('greater',)",8
"('volumes',)",8
"('dakota',)",8
"('signs',)",8
"('region',)",8
"('good',)",8
"('increasing',)",8
"('rate',)",8
"('optimism',)",8
"('especially',)",8
"('singlefamily',)",8
"('decreased',)",8
"('second',)",8
"('industries',)",8
"('areas',)",8
"('around',)",8
"('current',)",8
"('unit',)",8
"('exports',)",8
"('yearago',)",8
"('above',)",8
"('minnesota',)",8
"('dealer',)",7
"('subdued',)",7
"('pricing',)",7
"('largely',)",7
"('cost',)",7
"('election',)",7
"('into',)",7
"('attributed',)",7
"('traffic',)",7
"('space',)",7
"('improve',)",7
"('outlooks',)",7
"('positions',)",7
"('bookings',)",7
"('concerns',)",7
"('dollar',)",7
"('equipment',)",7
"('investment',)",7
"('when',)",7
"('regions',)",7
"('weakness',)",7
"('wholesale',)",7
"('online',)",7
"('past',)",7
"('elevated',)",7
"('half',)",7
"('inflation',)",7
"('below',)",7
"('boost',)",7
"('nonfinancial',)",7
"('job',)",7
"('potential',)",7
"('coal',)",7
"('metals',)",7
"('sources',)",7
"('brokers',)",7
"('federal',)",6
"('development',)",6
"('twelve',)",6
"('noting',)",6
"('shift',)",6
"('internet',)",6
"('widespread',)",6
"('utilization',)",6
"('winter',)",6
"('servicesector',)",6
"('revenue',)",6
"('well',)",6
"('global',)",6
"('retailer',)",6
"('weather',)",6
"('apparel',)",6
"('restaurant',)",6
"('may',)",6
"('border',)",6
"('where',)",6
"('fill',)",6
"('clients',)",6
"('employers',)",6
"('being',)",6
"('again',)",6
"('banks',)",6
"('delinquency',)",6
"('upstate',)",6
"('so',)",6
"('except',)",6
"('used',)",6
"('larger',)",6
"('begun',)",6
"('hours',)",6
"('net',)",6
"('consumers',)",6
"('similar',)",6
"('better',)",6
"('upward',)",6
"('solid',)",6
