NGram,Frequency
"('in', 'the')",158
"('continued', 'to')",91
"('real', 'estate')",61
"('over', 'the')",41
"('the', 'previous')",38
"('demand', 'for')",38
"('since', 'the')",36
"('at', 'a')",35
"('reported', 'that')",30
"('of', 'the')",29
"('due', 'to')",28
"('growth', 'in')",28
"('the', 'district')",26
"('on', 'balance')",25
"('noted', 'that')",25
"('contacts', 'in')",23
"('contacts', 'reported')",23
"('economic', 'activity')",22
"('activity', 'in')",22
"('to', 'the')",22
"('previous', 'report')",21
"('reporting', 'period')",20
"('increase', 'in')",20
"('in', 'recent')",19
"('to', 'be')",19
"('firms', 'reported')",18
"('picked', 'up')",18
"('a', 'modest')",18
"('commercial', 'real')",18
"('compared', 'with')",18
"('labor', 'market')",17
"('selling', 'prices')",17
"('increased', 'slightly')",17
"('consumer', 'spending')",17
"('and', 'the')",17
"('the', 'last')",17
"('reported', 'a')",17
"('a', 'year')",17
"('across', 'the')",16
"('and', 'wages')",16
"('as', 'a')",16
"('to', 'a')",16
"('and', 'business')",16
"('indicated', 'that')",16
"('the', 'next')",16
"('a', 'slight')",15
"('professional', 'and')",15
"('home', 'sales')",15
"('declines', 'in')",15
"('loan', 'demand')",15
"('increases', 'in')",15
"('with', 'a')",14
"('manufacturing', 'activity')",14
"('reports', 'of')",14
"('recent', 'weeks')",14
"('and', 'real')",14
"('activity', 'was')",14
"('economic', 'conditions')",14
"('of', 'economic')",14
"('the', 'reporting')",14
"('retail', 'sales')",13
"('to', 'rise')",13
"('business', 'services')",13
"('construction', 'and')",13
"('new', 'orders')",13
"('estate', 'activity')",13
"('expected', 'to')",13
"('slightly', 'in')",13
"('august', 'and')",13
"('last', 'report')",13
"('sales', 'were')",12
"('on', 'the')",12
"('about', 'the')",12
"('pace', 'of')",12
"('rose', 'modestly')",12
"('and', 'construction')",12
"('sales', 'in')",12
"('sales', 'of')",12
"('last', 'year')",12
"('that', 'the')",12
"('in', 'august')",12
"('have', 'been')",12
"('to', 'report')",12
"('previous', 'survey')",12
"('interest', 'rates')",11
"('modest', 'pace')",11
"('the', 'prior')",11
"('during', 'the')",11
"('were', 'mixed')",11
"('residential', 'real')",11
"('and', 'september')",11
"('construction', 'activity')",11
"('little', 'changed')",11
"('were', 'up')",11
"('from', 'the')",11
"('new', 'york')",11
"('business', 'activity')",10
"('increased', 'modestly')",10
"('number', 'of')",10
"('such', 'as')",10
"('labor', 'markets')",10
"('sales', 'and')",10
"('activity', 'increased')",10
"('in', 'late')",10
"('late', 'august')",10
"('manufacturing', 'and')",10
"('prices', 'were')",10
"('said', 'that')",10
"('in', 'demand')",10
"('majority', 'of')",10
"('more', 'information')",10
"('information', 'about')",10
"('about', 'district')",10
"('district', 'economic')",10
"('conditions', 'visit')",10
"('year', 'earlier')",10
"('a', 'moderate')",10
"('to', 'increase')",10
"('contacts', 'expected')",10
"('oil', 'and')",10
"('in', 'minnesota')",10
"('the', 'coming')",9
"('wage', 'growth')",9
"('continued', 'at')",9
"('prices', 'rose')",9
"('there', 'were')",9
"('and', 'new')",9
"('remained', 'tight')",9
"('with', 'some')",9
"('to', 'expand')",9
"('was', 'little')",9
"('up', 'in')",9
"('demand', 'from')",9
"('that', 'sales')",9
"('for', 'the')",9
"('in', 'both')",9
"('relative', 'to')",9
"('a', 'contact')",9
"('levels', 'were')",9
"('estate', 'and')",9
"('demand', 'and')",9
"('and', 'contacts')",9
"('and', 'gas')",9
"('yearago', 'levels')",9
"('sales', 'increased')",8
"('in', 'some')",8
"('rose', 'slightly')",8
"('signs', 'of')",8
"('estate', 'markets')",8
"('tight', 'labor')",8
"('production', 'levels')",8
"('in', 'manufacturing')",8
"('and', 'services')",8
"('to', 'pass')",8
"('the', 'labor')",8
"('growth', 'was')",8
"('the', 'manufacturing')",8
"('3', 'percent')",8
"('contacts', 'noted')",8
"('the', 'year')",8
"('compared', 'to')",8
"('capital', 'spending')",8
"('the', 'past')",8
"('of', 'new')",8
"('york', 'city')",8
"('across', 'most')",8
"('in', 'new')",8
"('vacancy', 'rates')",8
"('and', 'industrial')",8
"('contacts', 'continued')",8
"('decline', 'in')",8
"('corn', 'and')",8
"('period', 'and')",8
"('survey', 'period')",8
"('reports', 'from')",7
"('suggested', 'that')",7
"('nonfinancial', 'services')",7
"('and', 'trade')",7
"('business', 'contacts')",7
"('to', 'continue')",7
"('rose', 'moderately')",7
"('retail', 'and')",7
"('input', 'costs')",7
"('they', 'were')",7
"('because', 'of')",7
"('software', 'and')",7
"('tight', 'and')",7
"('and', 'prices')",7
"('was', 'stable')",7
"('sales', 'rose')",7
"('residential', 'construction')",7
"('noted', 'a')",7
"('was', 'flat')",7
"('was', 'mixed')",7
"('commercial', 'construction')",7
"('ability', 'to')",7
"('and', 'tourism')",7
"('of', 'firms')",7
"('price', 'pressures')",7
"('the', 'outlook')",7
"('half', 'of')",7
"('were', 'down')",7
"('an', 'increase')",7
"('several', 'contacts')",7
"('remained', 'positive')",7
"('expectations', 'for')",7
"('in', 'all')",7
"('12', 'months')",7
"('according', 'to')",7
"('prices', 'for')",7
"('employment', 'levels')",7
"('up', 'slightly')",7
"('in', 'prices')",7
"('on', 'a')",7
"('inventory', 'levels')",7
"('moderate', 'pace')",7
"('and', 'a')",7
"('lower', 'interest')",7
"('a', 'few')",7
"('labor', 'shortages')",7
"('since', 'our')",7
"('the', 'strike')",7
"('modestly', 'since')",7
"('district', 'states')",7
"('were', 'more')",6
"('spending', 'was')",6
"('vehicle', 'sales')",6
"('leasing', 'activity')",6
"('activity', 'continued')",6
"('trade', 'tensions')",6
"('loan', 'volumes')",6
"('agricultural', 'conditions')",6
"('services', 'and')",6
"('by', 'contrast')",6
"('and', 'manufacturing')",6
"('however', 'some')",6
