NGram,Frequency
"('and',)",557
"('the',)",556
"('in',)",527
"('to',)",357
"('of',)",278
"('a',)",278
"('for',)",178
"('that',)",162
"('were',)",162
"('contacts',)",160
"('reported',)",157
"('activity',)",146
"('was',)",118
"('growth',)",112
"('sales',)",109
"('prices',)",104
"('increased',)",104
"('demand',)",98
"('district',)",97
"('continued',)",96
"('remained',)",96
"('with',)",86
"('as',)",83
"('on',)",82
"('noted',)",80
"('firms',)",80
"('but',)",76
"('period',)",71
"('modestly',)",68
"('estate',)",66
"('year',)",66
"('construction',)",62
"('new',)",62
"('services',)",61
"('while',)",61
"('slightly',)",61
"('real',)",59
"('increases',)",57
"('from',)",57
"('levels',)",57
"('some',)",56
"('at',)",54
"('over',)",54
"('by',)",54
"('have',)",53
"('conditions',)",52
"('most',)",51
"('report',)",51
"('manufacturing',)",51
"('higher',)",50
"('across',)",46
"('business',)",45
"('labor',)",45
"('since',)",45
"('price',)",45
"('last',)",45
"('percent',)",45
"('overall',)",43
"('economic',)",43
"('previous',)",43
"('commercial',)",43
"('sectors',)",43
"('reporting',)",42
"('retail',)",42
"('up',)",41
"('more',)",40
"('market',)",39
"('months',)",39
"('strong',)",39
"('expected',)",38
"('moderately',)",37
"('rose',)",37
"('has',)",37
"('pace',)",36
"('wages',)",36
"('modest',)",36
"('moderate',)",36
"('markets',)",36
"('about',)",36
"('one',)",36
"('spending',)",35
"('costs',)",35
"('recent',)",35
"('they',)",34
"('residential',)",34
"('flat',)",34
"('consumer',)",33
"('march',)",33
"('increase',)",33
"('sector',)",33
"('contact',)",33
"('wage',)",32
"('said',)",32
"('an',)",32
"('steady',)",31
"('however',)",31
"('than',)",31
"('mixed',)",30
"('workers',)",30
"('rates',)",29
"('loan',)",29
"('low',)",29
"('balance',)",29
"('employment',)",28
"('also',)",28
"('had',)",28
"('reports',)",27
"('generally',)",27
"('tight',)",27
"('their',)",27
"('lower',)",27
"('first',)",27
"('retailers',)",26
"('input',)",26
"('selling',)",26
"('improved',)",26
"('be',)",26
"('february',)",26
"('home',)",25
"('grew',)",25
"('pressures',)",24
"('production',)",24
"('industrial',)",23
"('little',)",23
"('both',)",23
"('this',)",23
"('manufacturers',)",23
"('compared',)",23
"('quarter',)",23
"('survey',)",23
"('or',)",22
"('inventories',)",22
"('indicated',)",21
"('several',)",21
"('although',)",20
"('saw',)",20
"('stable',)",19
"('slight',)",19
"('cited',)",19
"('professional',)",19
"('trade',)",19
"('hiring',)",19
"('positive',)",19
"('expect',)",19
"('weather',)",19
"('energy',)",19
"('due',)",19
"('lending',)",19
"('been',)",19
"('transportation',)",19
"('auto',)",18
"('tourism',)",18
"('many',)",18
"('other',)",18
"('increasing',)",18
"('though',)",18
"('expanded',)",17
"('same',)",17
"('york',)",17
"('industry',)",17
"('robust',)",17
"('staffing',)",17
