NGram,Frequency
"('in',)",581
"('the',)",557
"('and',)",544
"('to',)",384
"('of',)",349
"('for',)",236
"('that',)",233
"('a',)",225
"('were',)",169
"('reported',)",135
"('sales',)",127
"('prices',)",117
"('with',)",105
"('District',)",105
"('as',)",104
"('activity',)",101
"('noted',)",93
"('demand',)",88
"('was',)",85
"('from',)",85
"('but',)",84
"('contacts',)",83
"('at',)",82
"('some',)",75
"('are',)",68
"('year',)",67
"('increased',)",64
"('increases',)",62
"('up',)",62
"('last',)",59
"('on',)",58
"('have',)",55
"('report',)",54
"('March',)",54
"('continued',)",54
"('percent',)",54
"('their',)",52
"('firms',)",52
"('construction',)",51
"('is',)",51
"('said',)",50
"('they',)",49
"('Districts',)",47
"('remained',)",47
"('more',)",47
"('most',)",46
"('be',)",46
"('February',)",46
"('A',)",45
"('levels',)",44
"('or',)",43
"('slightly',)",43
"('commercial',)",43
"('an',)",42
"('manufacturers',)",42
"('since',)",42
"('while',)",41
"('increase',)",41
"('higher',)",40
"('than',)",40
"('expected',)",38
"('services',)",38
"('business',)",38
"('new',)",38
"('growth',)",38
"('indicated',)",36
"('estate',)",36
"('The',)",35
"('In',)",35
"('rates',)",35
"('strong',)",34
"('steady',)",34
"('market',)",34
"('also',)",33
"('about',)",33
"('although',)",33
"('industrial',)",33
"('production',)",32
"('generally',)",32
"('price',)",32
"('reports',)",32
"('rose',)",32
"('costs',)",31
"('further',)",31
"('products',)",31
"('loans',)",31
"('has',)",31
"('New',)",30
"('recent',)",30
"('real',)",30
"('this',)",30
"('by',)",29
"('2011',)",29
"('conditions',)",29
"('months',)",29
"('manufacturing',)",28
"('loan',)",28
"('rising',)",28
"('expect',)",27
"('over',)",26
"('credit',)",26
"('several',)",26
"('had',)",26
"('not',)",26
"('hiring',)",26
"('contact',)",26
"('period',)",26
"('Boston',)",25
"('during',)",25
"('our',)",25
"('number',)",24
"('been',)",24
"('markets',)",23
"('retail',)",23
"('Contacts',)",23
"('other',)",23
"('Richmond',)",22
"('However',)",22
"('survey',)",22
"('outlook',)",21
"('Chicago',)",21
"('City',)",21
"('Cleveland',)",21
"('mixed',)",21
"('improved',)",21
"('due',)",21
"('plans',)",21
"('Some',)",20
"('Japan',)",20
"('Most',)",20
"('Kansas',)",20
"('workers',)",20
"('pressures',)",20
"('across',)",20
"('York',)",20
"('low',)",20
"('home',)",20
"('dealers',)",20
"('transportation',)",20
"('modest',)",20
"('little',)",20
"('oil',)",20
"('Minneapolis',)",19
"('materials',)",19
"('through',)",19
"('spending',)",19
"('San',)",19
"('Francisco',)",19
"('major',)",19
"('ago',)",19
"('Real',)",19
"('consumer',)",19
"('Atlanta',)",18
"('Dallas',)",18
"('cited',)",18
"('picked',)",18
"('few',)",18
"('auto',)",18
