NGram,Frequency
"('in',)",559
"('the',)",515
"('and',)",502
"('to',)",385
"('of',)",304
"('a',)",203
"('for',)",193
"('that',)",192
"('were',)",142
"('sales',)",119
"('reported',)",116
"('with',)",111
"('District',)",102
"('demand',)",100
"('prices',)",98
"('was',)",96
"('activity',)",92
"('contacts',)",90
"('as',)",88
"('noted',)",86
"('increased',)",78
"('but',)",75
"('at',)",73
"('some',)",71
"('Districts',)",68
"('from',)",68
"('2011',)",66
"('continued',)",65
"('levels',)",65
"('on',)",63
"('year',)",62
"('remained',)",61
"('are',)",60
"('increases',)",58
"('firms',)",57
"('construction',)",54
"('while',)",54
"('report',)",54
"('or',)",53
"('New',)",51
"('increase',)",51
"('commercial',)",50
"('A',)",50
"('The',)",49
"('most',)",49
"('new',)",49
"('have',)",48
"('last',)",48
"('December',)",46
"('up',)",45
"('percent',)",45
"('their',)",44
"('expected',)",44
"('than',)",43
"('steady',)",43
"('stable',)",42
"('estate',)",42
"('generally',)",42
"('since',)",42
"('strong',)",41
"('by',)",41
"('business',)",40
"('City',)",40
"('be',)",39
"('real',)",39
"('growth',)",39
"('an',)",39
"('is',)",39
"('rates',)",39
"('they',)",39
"('expect',)",39
"('York',)",38
"('said',)",37
"('Contacts',)",36
"('Kansas',)",36
"('during',)",35
"('modest',)",34
"('slightly',)",34
"('months',)",34
"('indicated',)",33
"('more',)",33
"('production',)",33
"('In',)",33
"('home',)",33
"('also',)",33
"('price',)",33
"('manufacturers',)",32
"('loan',)",32
"('had',)",32
"('market',)",32
"('loans',)",32
"('reports',)",31
"('rising',)",31
"('Cleveland',)",30
"('hiring',)",30
"('November',)",30
"('higher',)",29
"('San',)",29
"('Francisco',)",29
"('has',)",29
"('holiday',)",28
"('services',)",28
"('conditions',)",28
"('retailers',)",28
"('credit',)",28
"('low',)",28
"('Richmond',)",27
"('mixed',)",27
"('products',)",27
"('markets',)",26
"('although',)",26
"('period',)",26
"('over',)",26
"('ago',)",26
"('However',)",25
"('other',)",25
"('retail',)",25
"('manufacturing',)",24
"('Chicago',)",24
"('Dallas',)",24
"('across',)",24
"('reporting',)",24
"('costs',)",24
"('outlook',)",24
"('our',)",24
"('weak',)",23
"('St',)",23
"('about',)",23
"('recent',)",23
"('compared',)",23
"('survey',)",23
"('continue',)",23
"('Louis',)",22
"('pressures',)",22
"('positive',)",22
"('contact',)",22
"('next',)",22
"('Boston',)",21
"('Most',)",21
"('little',)",21
"('six',)",21
"('further',)",21
"('Several',)",21
"('remain',)",21
"('sector',)",20
"('Atlanta',)",20
"('this',)",20
"('season',)",20
"('Minneapolis',)",20
"('somewhat',)",20
"('very',)",20
"('will',)",20
"('plans',)",20
"('spending',)",20
"('2010',)",20
"('consumer',)",20
"('workers',)",20
"('pace',)",20
"('few',)",20
"('been',)",20
"('large',)",20
"('Philadelphia',)",19
"('both',)",19
"('limited',)",19
"('Manufacturing',)",19
"('improved',)",19
"('increasing',)",19
"('Demand',)",19
"('residential',)",19
"('lending',)",19
"('rise',)",19
"('which',)",19
"('all',)",18
"('orders',)",18
"('not',)",18
"('flat',)",18
"('held',)",18
"('industrial',)",18
"('optimistic',)",17
"('high',)",17
"('employment',)",17
"('improvement',)",17
"('inventories',)",17
"('Real',)",17
"('Commercial',)",16
"('however',)",16
"('auto',)",16
"('rose',)",16
"('oil',)",16
"('several',)",16
"('small',)",16
"('stronger',)",16
"('area',)",16
"('cited',)",15
"('sectors',)",15
"('number',)",15
"('remains',)",15
"('well',)",15
"('improve',)",15
"('equipment',)",15
"('2009',)",14
"('relatively',)",14
"('areas',)",14
"('among',)",14
"('Reports',)",14
"('weeks',)",14
"('Estate',)",14
"('office',)",14
"('down',)",14
"('Prices',)",14
"('materials',)",14
"('there',)",14
"('Minnesota',)",14
"('described',)",13
"('only',)",13
"('pressure',)",13
"('contrast',)",13
"('winter',)",13
"('change',)",13
"('earlier',)",13
"('modestly',)",13
"('Return',)",13
"('many',)",13
"('especially',)",12
"('overall',)",12
"('leasing',)",12
"('no',)",12
"('input',)",12
"('Consumer',)",12
"('ahead',)",12
"('dealers',)",12
"('healthcare',)",12
"('Construction',)",12
"('previous',)",12
"('top',)",12
"('early',)",12
"('through',)",12
"('capital',)",12
"('balance',)",12
"('yearago',)",12
"('into',)",11
"('slight',)",11
"('it',)",11
"('energy',)",11
"('slow',)",11
"('Retail',)",11
"('major',)",11
"('significant',)",11
"('projects',)",11
"('mortgage',)",11
"('bankers',)",11
"('quarter',)",11
"('one',)",11
"('recently',)",11
"('throughout',)",11
"('stores',)",11
"('shipments',)",11
"('producers',)",11
"('wages',)",10
"('stated',)",10
"('respondents',)",10
"('characterized',)",10
"('capacity',)",10
"('particularly',)",10
"('mentioned',)",10
"('plan',)",10
"('Services',)",10
"('sluggish',)",10
"('declined',)",10
"('interest',)",10
"('decreased',)",10
"('output',)",10
"('level',)",10
"('slowed',)",10
"('Sales',)",10
"('goods',)",10
"('inventory',)",10
"('changed',)",10
"('Business',)",10
"('vacancy',)",10
"('according',)",10
"('homes',)",10
"('despite',)",10
"('near',)",10
"('improving',)",9
"('planned',)",9
"('still',)",9
"('Overall',)",9
"('commodities',)",9
"('Spending',)",9
