NGram,Frequency
"('in', 'the')",133
"('continued', 'to')",63
"('real', 'estate')",61
"('contacts', 'in')",55
"('of', 'the')",45
"('demand', 'for')",44
"('since', 'the')",43
"('the', 'previous')",41
"('reported', 'that')",37
"('during', 'the')",36
"('the', 'district')",35
"('a', 'year')",34
"('reporting', 'period')",33
"('noted', 'that')",32
"('growth', 'in')",31
"('contacts', 'reported')",31
"('commercial', 'real')",30
"('kansas', 'city')",30
"('over', 'the')",29
"('to', 'be')",29
"('in', 'january')",28
"('at', 'a')",27
"('new', 'york')",26
"('compared', 'with')",26
"('the', 'reporting')",25
"('year', 'ago')",24
"('san', 'francisco')",24
"('due', 'to')",24
"('across', 'the')",22
"('increase', 'in')",22
"('with', 'the')",22
"('that', 'the')",22
"('from', 'the')",21
"('increases', 'in')",21
"('for', 'the')",21
"('and', 'san')",20
"('indicated', 'that')",19
"('the', 'same')",19
"('last', 'year')",19
"('home', 'sales')",18
"('oil', 'and')",18
"('increased', 'in')",17
"('flat', 'to')",17
"('according', 'to')",17
"('in', 'new')",17
"('prices', 'and')",17
"('activity', 'in')",17
"('sales', 'were')",17
"('early', 'february')",17
"('wage', 'pressures')",16
"('city', 'and')",16
"('to', 'a')",16
"('st', 'louis')",16
"('previous', 'report')",16
"('to', 'the')",16
"('capital', 'spending')",16
"('january', 'and')",16
"('beige', 'book')",16
"('change', 'in')",15
"('the', 'last')",15
"('the', 'year')",15
"('consumer', 'spending')",14
"('sales', 'of')",14
"('reported', 'a')",14
"('in', 'recent')",14
"('firms', 'in')",14
"('to', 'increase')",14
"('the', 'next')",14
"('and', 'construction')",14
"('return', 'to')",14
"('in', '2015')",14
"('a', 'slight')",14
"('the', 'past')",14
"('the', 'districts')",13
"('to', 'lower')",13
"('the', 'prior')",13
"('year', 'earlier')",13
"('last', 'report')",13
"('percent', 'in')",13
"('to', 'report')",13
"('most', 'districts')",12
"('districts', 'reported')",12
"('decline', 'in')",12
"('and', 'prices')",12
"('loan', 'demand')",12
"('demand', 'was')",12
"('pace', 'of')",12
"('majority', 'of')",12
"('number', 'of')",12
"('little', 'change')",12
"('to', 'top')",12
"('the', 'first')",12
"('expected', 'to')",12
"('growth', 'was')",12
"('and', 'industrial')",12
"('and', 'early')",12
"('several', 'contacts')",12
"('held', 'steady')",12
"('north', 'carolina')",12
"('in', 'most')",11
"('were', 'mixed')",11
"('previous', 'survey')",11
"('and', 'dallas')",11
"('in', 'activity')",11
"('in', 'contrast')",11
"('the', 'cleveland')",11
"('new', 'orders')",11
"('in', 'demand')",11
"('as', 'a')",11
"('west', 'coast')",11
"('activity', 'was')",11
